event_id,year,event_name,pattern_family,recommended_disposition,short_note
1268407783,2010,2010 East Coast Footbag Championships,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,Open/Intermediate merged under Intermediate/Novice labels
1270631935,2010,RNH Contest 2010,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,Open Doubles + Open Singles merged; 9 dup pairs
1285506605,2010,2010 NYJ/Midwest Regionals Footbag Championships,KNOWN_ISSUE_MINOR,ACCEPT,3 dup places in Routines only; minor anomaly
1286644859,2010,Czech Footbag Championship 2010,KNOWN_ISSUE_MINOR,ACCEPT,2 dup places in Open Singles Freestyle; minor anomaly
1305581560,2011,French Footbag Championships 2011,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,Singles Net merged; 9 dup pairs
1314323534,2011,5to Campeonato Suramericano de Footbag,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,Freestyle + Shred 30 merged; 3 dup pairs
1391189882,2014,35th IFPA WORLD FOOTBAG CHAMPIONSHIPS,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,Pool+finals merged; 88 affected rows across 8 divs — source structure
1417735560,2015,36th IFPA WORLD FOOTBAG CHAMPIONSHIPS,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,Pool+finals merged; 121 affected rows across 5 divs — source structure
1449259560,2016,37th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2016,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,"Pool+finals merged; 172 affected rows, 68 dup pairs — source structure"
1487797845,2017,19th Annual IFPA European Footbag Championships,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,Mixed Doubles + Open Routines merged; 7 dup pairs
1527557123,2018,Suramericano de Footbag Net y Freestyle,KNOWN_ISSUE_MINOR,ACCEPT,3 dup places in Open Doubles; minor anomaly
1667566506,2022,Refaski Cup 2022,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,Open Doubles + Open Singles merged under unlabelled divs
1700920831,2023,Finnish Footbag Open 2023,KNOWN_ISSUE_MINOR,SOURCE_PARTIAL,Singles Net merged; 4 dup pairs
1759558836,2025,Memorial Jindry Smoly-Refaski cup 11,KNOWN_ISSUE_MINOR,ACCEPT,1 dup place in Singles Result; minor anomaly
912467534,1999,12th Annual U.S. Open Footbag Net Championships,METADATA_OVERRIDE,ACCEPT,Override adds location metadata only; results unchanged
933115858,2000,Colorado Shred Symposium,METADATA_OVERRIDE,ACCEPT,Override adds location metadata only; results unchanged
1093115479,2004,2nd Annual SoCal Labor Day Jam,METADATA_OVERRIDE,ACCEPT,Override applies; no result data divergence
1109356644,2005,Funtastik Summer Classic,METADATA_OVERRIDE,ACCEPT,Override applies; no result data divergence
1149881200,2006,Funtastik Summer Classic Tournament and Festival,METADATA_OVERRIDE,ACCEPT,Override applies; no result data divergence
1252451527,2010,Funtastik Summer Classic,METADATA_OVERRIDE,ACCEPT,Override applies; no result data divergence
886044392,1998,12th Annual Vancouver Open Footbag Net Tournament,PBP_STALE,DEFER,PBP v60 adds 6 unresolved rows; promote v60 then re-score
892446131,1998,Kansas Footbag Open,PBP_STALE,DEFER,PBP v60 adds missing divs as unresolved; promote v60 then re-score
959353403,2000,2000 Southeast Idaho Footbag Championships,DATA_MISMATCH,SOURCE_PARTIAL,Unknown div contains noise; trailing-colon div name mismatch; source limited
946940201,2000,East Coast Footbag Championships,DATA_MISMATCH,DEFER,5 genuine missing persons in PBP; promote PBP v60 then re-score
984694623,2001,1st Montreal Summer Freestyle Challenge,DATA_MISMATCH,DEFER,Old parse: city-as-teammate artifacts; PBP has 8/20 stage2 rows; needs identity work
974683678,2001,COLORADO SHRED SYMPOSIUM 2,DATA_MISMATCH,DEFER,PBP has 14/26 for Intermediate Shred; PBP v60 adds missing unresolved rows
1044952105,2003,"L'Hivernal, The Windchill",DATA_MISMATCH,DEFER,PBP has 7/10; Jean→Jean-Francois incomplete identity; needs alias
1146843672,2006,Montreal Spring Jam,DATA_MISMATCH,ACCEPT,1-row diff (10 vs 9); minor identity resolution gap; data substantially complete
1218721346,2008,Memphicago Kick Volley Challenge 1,DATA_MISMATCH,ACCEPT,6/8 unresolved persons not in PT; small local event; counts match
1235653935,2009,11th Annual IFPA European Footbag Championships - Strzelin,DATA_MISMATCH,ACCEPT,135=135 total placements; div name diff is cosmetic (Open vs Open Singles Net)
1366240051,2013,4ta. Copa Ciencias,DATA_MISMATCH,SOURCE_PARTIAL,9/12 doubles teams unresolved; South American identity gap; partial coverage expected
1733755410,2024,Segunda 'Copa Perpetual Flame',DATA_MISMATCH,ACCEPT,8=8 placements match exactly; div name diff is cosmetic
