event_id,division_guess,mirror_places_detected,mirror_max_place_detected
1049457912,Intermediate Doubles,6,6
1049457912,NET GAME,2,13820
1049457912,Open Doubles,9,9
1049457912,_NO_DIVISION_DETECTED,1,2003
1049457912,and the 4 time east coast net champion Steve Femmel,2,15101
1049457912,sick 3,7,5
1050067583,1. Oskari Forstn & Matti Pohjola (pro net footbags,6,7
1050067583,FREESTYLE,3,3
1050067583,Pro Shred 30,2,1
1050067583,Pro Sick 3,4,3
1050140930,German Ranking Open Freestyle,6,6
1050140930,Intermediate Freestyle,6,6
1050140930,Open Doubles Net,3,3
1050140930,Open Freestyle,10,10
1050140930,Open Singles Net,2,2
1050140930,Women's Freestyle,5,5
1050745947,Girls Freestyle,3,3
1050745947,Intermediate Freestyle,8,8
1050745947,NET GAME,1,1
1050745947,Open Doubles Net,4,4
1050745947,Open Freestyle,5,5
1050745947,Shred 30,3,3
1050745947,Sick 3,5,75013
1052775226,"demonstrations, footbag net and takraw matches",1,10
1052775366,Golf,3,3
1052775366,Intermediate Freestyle,6,6
1052775366,Open Double Net,4,4
1052775366,Open Freestyle,6,6
1052775366,Open Single Net,4,4
1052775366,Shred,4,4
1052775366,Women?s Freestyle,3,3
1056440761,Casual Golf that will not interrupt Net Matches,1,22
1057126024,2. Mary Barnett,1,3
1057126024,2. Mary Barnett/Holly Rae Taylor,1,3
1057126024,Advanced Doubles Net,3,3
1057126024,Advanced Singles Net,3,3
1057126024,Beginners Doubles Net,3,3
1057126024,Beginners Singls Net,3,3
1057126024,Doubles One Pass Consecutive,3,3
1057126024,Footbag Freestyle,3,3
1057126024,Footbag Golf,3,3
1057126024,Mixed Doubles Footbag Net,3,3
1057126024,Singles Consecutive,3,3
1057126024,Womens Doubles Net,1,1
1057126024,Womens Singles Net,1,1
1057175925,Amateur Doubles Net,3,3
1057175925,Amateur Footbag Golf,3,3
1057175925,Amateur One Pass Consecutive,3,3
1057175925,Amateur Singles Net,3,3
1057175925,Amateur Singles Timed Consecutive,3,3
1057175925,Footbag Freestyle,3,3
1057175925,Open Doubles Net,3,3
1057175925,Open Footbag Golf,3,3
1057175925,Open One Pass Consecutive,3,3
1057175925,Open Singles Net,3,3
1057175925,Open Singles Timed Consecutive,3,3
1057773472,"Freestyle Energy Circle, Footbag Golf (day and glow",1,2003
1057773472,GOLF,1,19
1057773472,Golf/Adopt-a-Hole: anyone wanting to adopt-a-hole can decorate it any,1,11745
1057773472,PRO/AM NET,2,2
1057773472,ljconover@comcast.net,1,5
1058378281,Footbag Net,3,3
1058378281,"Footbag Net, Freestyle, Golf, Consecutives. All levels and",1,2003
1058378281,Freestyle ? 30 second shred,9,9
1058378281,Freestyle ? Intermediate,3,3
1058378281,Freestyle ? Open,12,12
1058378281,Intermediate Golf,3,3
1058378281,Intermediate Singles Net,3,3
1058378281,Mixed Doubles,3,3
1058378281,Open Consecutives,3,3
1058378281,Open Doubles,3,3
1058378281,Open Golf,3,3
1058378281,Women's Doubles,6,4
1058378281,Women's Freestyle,2,2
1058378281,Women's Golf,1,1
1058877971,"shredding, over 11 (Eleven) Hours Worth of Shredding all told, water",2,1000
1061453080,5 Minute Consecutive Kicks,5,4
1061453080,Intermediate Shred 30 (2 add and up unique,7,3
1061453080,"Intermediate Sick Three (sorry, the actual combos got lost somewhere",3,3
1061453080,Open Shred 30,6,3
1061453080,Open Sick Three,3,3
1061921260,Pre Season Footbag Golf Open,1,1
1063253999,"September 21, 2003. This event will determine the Pennsylvania 2003 Net",1,18
1063788560,Intermediate Doubles Net,3,3
1063788560,Intermediate Freestyle,3,3
1063788560,Intermediate Singles Net,3,3
1063788560,Open Shred,8,8
1063788560,Pro Doubles Net,7,8
1063788560,Pro Freestyle,10,10
1063788560,Pro Singles Net,6,6
1064260799,The Brothers from Different Mothers and The Rain City Shred Footbag Club are,1,5
1064260799,"Workshops, shred, juggling, foursquare 5:00 - 10:00",2,5036
1064330873,Doubles Net Open,11,9
1064330873,Doubles Net Women,3,3
1064330873,NET GAME,1,4
1064330873,Singles Net Open,20,9
1064330873,_NO_DIVISION_DETECTED,1,4
1064849293,5. Fabien Riffaud / Marc Brunet (France,1,5
1064849293,5. Fabien Riffaud / Marc Brunet (RNH Paris,1,5
1064849293,Freestyle,8,7
1064849293,Intermediate Single Freestyle,6,6
1064849293,OPEN DOUBLE NET,6,5
1064849293,Open Doubles Net,4,5
1064849293,Open Shred (open to foreign people,12,12
1064849293,Open Sick 3,12,12
1064849293,Open Single Freestyle Women,5,5
1064849293,Open Single NET,8,5
1064849293,Open Team Freestyle,2,2
1064849293,Results for 1st French Footbag Championships (2003) Open Singles Net,8,5
1065382377,Singles Freestyle,1,2
1068406344,Freestyle,6,6
1068406344,Shred:30,3,3
1068406344,Sick 3,2,2
1069415266,"Party Golf @ ""Salon de l'Education",1,1
1069791565,doubles net,3,3
1069791565,intermediate freestyle ? routines,3,3
1069791565,open freestyle ? routines,8,8
1069791565,open freestyle ? shred 30 sec,8,8
1069791565,singles net,3,3
1069791565,womens freestyle ? routines,2,3
1069929277,17. Miquel Clemente / Marc Brunet,5,22
1069929277,4. Marc Brunet,19,13
1069929277,Intermediate Doubles Net,10,7
1069929277,Intermediate Shred,28,28
1069929277,Intermediate Singles Freestyle,11,11
1069929277,Intermediate Singles Net,3,3
1069929277,Mixed Doubles Freestyle,2,2
1069929277,Mixed Doubles Net,15,13
1069929277,Open Doubles Freestyle,6,6
1069929277,Open Doubles Net,16,16
1069929277,Open Shred,10,10
1069929277,Open Singles Freestyle,48,47
1069929277,Open Singles Net,37,37
1069929277,Results for 25th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS (2004) Open Singles Net,81,47
1069929277,Women Open Doubles Net,7,7
1069929277,Women Open Singles Net,11,10
1069929277,Women's Shred,7,7
1069929277,Women's Singles Freestyle,7,7
1070643655,NET GAME,1,2004
1070643655,_NO_DIVISION_DETECTED,1,2004
1070734498,Open singles freestyle,14,10
1070734498,Shred 30,3,3
1070734498,Sick 3,6,3
1070954568,Open Freestyle Results,24,5
1070954568,Open Shred 30 Finals (Two Day Average,64,16
1070954568,Shred 30,20,9
1071060801,"Net-Single, Net-Double, maybe Freestyle and Golf, Party",8,4
1074511718,Open Double Freestyle,2,2
1074511718,Open Woman Freestyle,1,1
1075781798,1. Service block must occur at the net,2,3
1075781798,20th annual Summer Classic next year. We are requesting that everyone and,1,2004
1075781798,3. Body contact is allowed during golf shots,1,4
1075781798,3. Net footbag must be used during net portion,1,50
1075781798,6pm- 12am- social/shred/chess- back deck- Harrisburg Holiday Inn East,1,9
1075781798,AMATEUR GOLF,3,3
1075781798,AMATEUR SINGLES NET,4,4
1075781798,MASTERS SINGLES NET,2,2
1075781798,NOVICE DOUBLES NET,2,2
1075781798,NOVICE FREESTYLE,2,2
1075781798,NOVICE SINGLES NET,4,4
1075781798,PRO DOUBLES NET,4,4
1075781798,PRO FREESTYLE- SINGLE,6,6
1075781798,PRO GOLF,3,3
1075781798,PRO SINGLE NET,5,5
1075781798,Rules- 1. Shred till you drop,3,4
1075781798,spike (airborne contact above net required,1,2
1076748214,players will be able to test their skills in friendly freestyle battles,1,800
1076876907,Open Doubles Net the points the team gets in Russian,4,4
1076876907,Open Singles Freestyle,4,4
1076952530,anticipation. See you all there. Shred on,1,2000
1077766197,NET GAME,1,2004
1077766197,Singles Net: 1. The Enforcer Kenny Schultz,1,2
1077766197,_NO_DIVISION_DETECTED,1,2004
1079024287,Shred 30,8,2
1079444598,Golf results,4,4
1079444598,Intermediate Doubles Net,3,3
1079444598,Intermediate Freestyle,4,4
1079444598,Intermediate Single Net,4,4
1079444598,Open Doubles Net,4,4
1079444598,Open Men Freestyle,4,4
1079444598,Open Single Net,4,4
1079444598,Shred,4,4
1079444598,Sick 3,4,4
1079444598,Women Freestyle,4,4
1079605499,Intermediate Double Net,3,3
1079605499,Intermediate Single Net,4,4
1079605499,Intermediate Singles Freestyle,9,9
1079605499,NET GAME,5,2004
1079605499,Open Doubles Freestyle,7,7
1079605499,Open Doubles Net,4,4
1079605499,Open Golf,9,10
1079605499,Open Single Net,4,4
1079605499,Open Singles Freestyle,8,8
1079605499,Shred30,8,4
1079605499,Womens Shred30,3,3
1079605499,"Womens Singles Freestyle [very, very close (1-4",11,11
1079664495,NET GAME,1,4
1080058216,Golf/Adopt-a-Hole: anyone wanting to adopt-a-hole can decorate it any,1,11745
1080058216,ljconover@comcast.net,1,5
1080138513,5. Marco Brunet (RNH Footbag,1,5
1080138513,Doubles Mixed Net,3,3
1080138513,Doubles Net,4,4
1080138513,NET GAME,1,1
1080138513,Shred 30,10,10
1080138513,Sick 3,23,8
1080138513,Singles Net,6,5
1080896073,Open Doubles Net,11,11
1081766954,Open Doubles Net,5,100
1081766954,Open Singles Freestyle,5,8
1082093775,30 Second Shred,4,4
1082093775,Freestyle (2 minute,4,4
1082093775,Golf,4,4
1082093775,Mixed Doubles Net,4,4
1082093775,NET GAME,1,2004
1082093775,Open Doubles Net,4,4
1082093775,Open Singles Net,4,4
1082093775,Women's Singles Net,3,3
1082093775,_NO_DIVISION_DETECTED,1,2004
1082840921,17:30-19 Open Freestyle,1,11
1082840921,Open Doubles Net,1,10
1082840921,"Open Single Net, Open Doubles Net",1,9
1083478397,Lots of Shred,1,1400
1083478397,NET GAME,1,3
1083699966,Open Singles Net Open Doubles Net,9,9
1084360413,NET GAME,1,2004
1084360413,Singles Freestyle,2,15101
1084360413,_NO_DIVISION_DETECTED,1,2004
1086541180,Possibly Nets for Footbag Net,1,2002
1088497264,Footbag Freestyle (Initiation + demo,3,3
1088671012,"musique, aftershred, vidos, etc... See ya",1,2003
1089373321,4. Marc Brunet + Fabien Riffaud RNH,4,8
1089373321,Doubles Freestyle,4,4
1089373321,Freestyle and Net,29,24
1089373321,Golf,3,3
1089373321,Intermediate Freestyle,7,7
1089373321,Intermediate Singles Net,12,12
1089373321,Mixed Doubles Net,5,5
1089373321,NET GAME,1,1
1089373321,Open Doubles Net,3,3
1089373321,Open Shred:30,12,12
1089373321,Open Singles Freestyle,24,25
1089373321,Open Singles Net,8,8
1089373321,Shred 30,15,15
1089373321,Womens Doubles Net,2,2
1089373321,Womens Freestyle,6,6
1089373321,Womens Singles Net,4,4
1090437706,Open Woman Freestyle,1,2
1090569022,4. Marco Brunet et Miquel Clemente,4,8
1090569022,5. Marc Brunet,8,16
1090569022,Double Net,3,3
1090569022,Simple net,7,5
1091802943,NET GAME,1,2004
1091802943,_NO_DIVISION_DETECTED,1,2004
1092044099,Freestyle Singles,4,4
1092044099,Net Doubles,4,4
1092073845,30 second shred,3,3
1092073845,Doubles Freestyle,3,3
1092073845,Doubles Net,3,3
1092073845,Intermediate Freestyle,6,5
1092073845,Open Freestyle,16,8
1092073845,Sick 3,18,15
1092073845,Singles Net,3,3
1092073845,"doubles, women, shred 30, sick 3",1,4
1092732658,12th Sept. - Golf & Net in,1,1180
1093115479,NET GAME,1,425
1093955766,1. Launch Pad Net Team (Saint-Petersburg,3,4
1093955766,Freestyle,2,2
1094123527,Intermediate freestyle,12,6
1094123527,Open doubles net,30,15
1094123527,Open freestyle,34,17
1094123527,Shred:30,20,10
1094201584,Open Double Net,4,4
1094201584,Open Freestyle,8,8
1094201584,Open Golf,7,4
1095965765,"1. G&#337;si ""lurko"" Gyrgy - Sunshred Footbag Club - Gy&#337;r",5,3
1096318324,5 time world footbag freestyle champion,2,6535
1096318324,Open Sick 3-Trick,5,6
1096318324,Results for 3rd Annual Seattle Juggling and Footbag Festival (2004) Open Shred:30,3,3
1096318324,Saturday: Gym Opens at 10am pro footbag shred30 and Sick,1,3
1096318324,Shred 30,3,3
1096318324,Sick 3,12,6
1096318324,shred 30,15,7
1096695238,2-minute Freestyle Shred,23,5
1096695238,Shred 30,4,4
1096695238,Sick 3,12,5
1097609874,NET GAME,1,2005
1097609874,The Hilton Inn at Penn (walking distance from the tourny,1,3600
1097609874,_NO_DIVISION_DETECTED,1,2005
1097609874,"adds only), novice consecutives",1,3130
1097609874,"to compete, and to learn their consecutives, as every novice player",1,676
1097686137,Men: Intermediate Singles Freestyle,3,3
1097686137,Men: Open Doubles Net,1,2
1097686137,Men: Open Singles Freestyle,8,8
1097686137,Open 30s Shred,7,7
1097686137,Women: Open Singles Freestyle,3,3
1097785506,Intermediate Singles Net,16,16
1100728799,freestyle team battle,4,4
1101757562,"Come shred with the players at Purdue University! Scott Davidson, Valeria Davidson and",3,94
1101757562,Purdue University Footbag Shred,1,128
1102227996,Open Doubles - for The Green Cup,20,10
1102443443,Intermediate Freestyle Man,3,3
1102443443,Open Double Freestyle,3,3
1102443443,Open Man Freestyle,23,9
1102443443,Open Woman Freestyle,3,3
1102443443,Shred 30,7,7
1102447093,1. Theres only one competition : Footbag Net Double (Unisex,1,2
1102447093,Footbag Net,3,3
1102576153,Intermediate Doubles Net Results,12,12
1102576153,Intermediate Freestyle,22,21
1102576153,Intermediate Shred,10,10
1102576153,Intermediate Singles Net Results,12,12
1102576153,Mixed Doubles Freestyle,4,4
1102576153,Mixed Doubles Net Results,8,8
1102576153,Open Doubles Freestyle,6,6
1102576153,Open Doubles Net Results,31,31
1102576153,Open Shred,15,10
1102576153,Open Shred:30,10,10
1102576153,Open Singles Freestyle,52,49
1102576153,Open Singles Net Results,48,48
1102576153,Results for 26th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS (2005) Open Singles Net,108,49
1102576153,Women's Doubles Net Results,4,4
1102576153,Women's Freestyle,8,7
1102576153,Women's Shred,6,6
1102576153,Women's Shred:30,6,6
1102576153,Women's Singles Net Results,5,5
1102576153,footbag net site is 50 meters away across the street. This hotel has straight,7,980
1102576153,"freestyle & finals day) and Helsinginkatu 23 (Brahe sports field, net site",1,510
1102788509,Open Freestyle,8,4
1102788509,Shred30,12,3
1102788509,Sick 3,8,4
1103052584,"Then, more informal shred on 2nd floor (lounge area) of Executive Tower hotel",1,1415
1103297805,FREESTYLE,3,3
1103297805,NET,10,3
1103297805,"Reni, Samy et Karim, nos invits helvtes, ont particip aux Shred, Sick 3 et",11,8
1103297805,Shred,3,3
1103297805,Shred 30 sec,8,8
1103297805,Sick 3,18,5
1103724325,2. Emilie Chevat &#8211; Marc Brunet,2,2
1103724325,3. Fabien Riffaud &#8211; Marc Brunet,6,9
1103724325,8. Marc Brunet,10,18
1103724325,Doubles Net,2,2
1103724325,Freestyle,13,13
1103724325,Mini Net,2,2
1103724325,Mixed Doubles,1,1
1103724325,NET GAME,1,1
1103724325,Shred,8,8
1103724325,Singles Net,7,8
1104851808,16 Arthur Ledain / Marc Brunet,3,19
1104851808,20 Marc Brunet,10,30
1104851808,"Footbag Net, Golf, Freestyle",18,10
1104851808,Golf,4,3
1104851808,Intermediate Double Net,3,3
1104851808,Intermediate Single Net,3,3
1104851808,Mixed Double Net,3,3
1104851808,Open Double Freestyle,5,5
1104851808,Open Double Net,15,15
1104851808,Open Freestyle,10,10
1104851808,Open Shred 30,6,6
1104851808,Open Shred:30,6,6
1104851808,Open Sick 3 Trick Combo,3,3
1104851808,Open Sick 3-Trick,3,3
1104851808,Open Single Net,19,19
1104851808,Open Women doubles Net [ offered if there are enough players registered,1,4
1104851808,Women Double Net,3,3
1104851808,Women Freestyle,8,8
1104851808,Women Shred 30,3,3
1104851808,Women Single Net,3,3
1104851808,Women's Shred:30,3,3
1105087209,Results for IFPA Swiss Footbag Open : FootJam05 (2005) Open Doubles Net,70,43
1105353373,NET GAME,1,5
1105353373,_NO_DIVISION_DETECTED,1,5
1105686115,12:00 p.m.- Walk over to Bahen Centre & shred till we die,37,37
1105686115,Shredders: $12,7,9
1106150615,Golf,3,2
1106150615,Int. Doubles Net,3,3
1106150615,Int. Singles Net,3,3
1106150615,Intermediate Freestyle,3,3
1106150615,Open Doubles Net,3,3
1106150615,Open Freestyle,8,8
1106150615,Open Singles Net,3,3
1106150615,Shred30,6,3
1106150615,Women Freestyle,3,3
1106561176,Freestyle,5,5
1108496302,"Routines, Shred 30, Sick Trick",1,2361
1109356644,1. Service block must occur at the net,2,3
1109356644,3. Body contact is allowed during golf shots,1,4
1109356644,FOOTBAG NET- The pool format- 2 out of 3 games to 11 points. Semi final & final games,1,2
1109356644,FREESTYLE ? NOVICE,3,3
1109356644,GOLF -AMATEUR,3,3
1109356644,MASTER?S SINGLES NET,4,4
1109356644,MONETARY & PRIZE DONATIONS- are always needed and greatfully accepted. Please make,1,50
1109356644,PRO DOUBLES NET,4,4
1109356644,PRO FREESTYLE- SINGLE,5,5
1109356644,PRO GOLF,4,4
1109356644,PRO SINGLE NET,5,5
