event_id,division_guess,mirror_places_detected,mirror_max_place_detected,division_key,division_canon,parsed_places,parsed_max_place,problem_type_guess,severity_score,mirror_divisions_detected,mirror_total_places_detected,parsed_total_places,parsed_divisions,event_name,year
1531284609,summary of all freestyle events - top 3 are official footbag freestyle polish,61.0,18.0,summary of all freestyle events top 3 are official footbag freestyle polish,,0.0,0.0,missing_division_or_unmatched_division,127.0,30.0,93.0,96.0,11.0,XVIII Polish Footbag Championships - Krakow 2018,2018.0
1035277529,OPEN SINGLES FREESTYLE RANK,58.0,55.0,open singles freestyle rank,,0.0,0.0,missing_division_or_unmatched_division,121.0,21.0,289.0,192.0,15.0,24th Annual WORLD FOOTBAG CHAMPIONSHIPS,2003.0
1293877677,Results for 32nd IFPA WORLD FOOTBAG CHAMPIONSHIPS (2011) Open Singles Net,58.0,59.0,results for 32nd ifpa world footbag championships 2011 open singles net,,0.0,0.0,missing_division_or_unmatched_division,121.0,25.0,634.0,381.0,22.0,32nd IFPA WORLD FOOTBAG CHAMPIONSHIPS,2011.0
1194517448,Results for IFPA WORLD FOOTBAG CHAMPIONSHIPS (2008) Open Singles Net,56.0,57.0,results for ifpa world footbag championships 2008 open singles net,,0.0,0.0,missing_division_or_unmatched_division,117.0,40.0,522.0,319.0,21.0,2008 IFPA WORLD FOOTBAG CHAMPIONSHIPS,2008.0
1226679678,Results for 30th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS (2009) Open Singles Net,56.0,56.0,results for 30th annual ifpa world footbag championships 2009 open singles net,,0.0,0.0,missing_division_or_unmatched_division,117.0,30.0,345.0,237.0,20.0,30th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,2009.0
1328094862,Open Doubles Net,91.0,36.0,open doubles net,Open Doubles Net,35.0,35.0,truncated_division,112.0,22.0,258.0,143.0,10.0,14th Annual IFPA European Footbag Championships,2012.0
1265745512,FINAL FREESTYLE RESULTS,53.0,32.0,final freestyle results,,0.0,0.0,missing_division_or_unmatched_division,111.0,106.0,495.0,267.0,20.0,31st IFPA WORLD FOOTBAG CHAMPIONSHIPS,2010.0
1293877677,Open Mixed Doubles Net,53.0,36.0,open mixed doubles net,,0.0,0.0,missing_division_or_unmatched_division,111.0,25.0,634.0,381.0,22.0,32nd IFPA WORLD FOOTBAG CHAMPIONSHIPS,2011.0
1323272493,Results for 33rd IFPA WORLD FOOTBAG CHAMPIONSHIPS (2012) Open Singles Net,53.0,53.0,results for 33rd ifpa world footbag championships 2012 open singles net,,0.0,0.0,missing_division_or_unmatched_division,111.0,38.0,706.0,330.0,18.0,33rd IFPA WORLD FOOTBAG CHAMPIONSHIPS,2012.0
1328094862,Results for 14th Annual IFPA European Footbag Championships (2012) Open Singles Net,52.0,51.0,results for 14th annual ifpa european footbag championships 2012 open singles net,,0.0,0.0,missing_division_or_unmatched_division,109.0,22.0,258.0,143.0,10.0,14th Annual IFPA European Footbag Championships,2012.0
1471686537,Results for 38th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS (2017) Open Singles Net,52.0,22.0,results for 38th annual ifpa world footbag championships 2017 open singles net,,0.0,0.0,missing_division_or_unmatched_division,109.0,21.0,177.0,125.0,14.0,38th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2017,2017.0
1042821772,Open Footbag Golf,51.0,36.0,open footbag golf,,0.0,0.0,missing_division_or_unmatched_division,107.0,24.0,184.0,116.0,10.0,European Footbag Championships 2003,2003.0
1325504349,Results for Bembel Cup (2012) Open Doubles Net,51.0,17.0,results for bembel cup 2012 open doubles net,,0.0,0.0,missing_division_or_unmatched_division,107.0,11.0,53.0,17.0,1.0,Bembel Cup 2012,2012.0
1417735560,Results for 36th IFPA WORLD FOOTBAG CHAMPIONSHIPS (2015) Open Singles Net,51.0,51.0,results for 36th ifpa world footbag championships 2015 open singles net,,0.0,0.0,missing_division_or_unmatched_division,107.0,26.0,304.0,273.0,21.0,36th IFPA WORLD FOOTBAG CHAMPIONSHIPS,2015.0
1361207019,Results for 34th IFPA WORLD FOOTBAG CHAMPIONSHIPS (2013) Open Singles Net,50.0,50.0,results for 34th ifpa world footbag championships 2013 open singles net,,0.0,0.0,missing_division_or_unmatched_division,105.0,28.0,343.0,199.0,16.0,34th IFPA WORLD FOOTBAG CHAMPIONSHIPS,2013.0
1102576153,Open Singles Net Results,48.0,48.0,open singles net results,,0.0,0.0,missing_division_or_unmatched_division,101.0,26.0,375.0,238.0,15.0,26th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,2005.0
941418343,OPEN SINGLES NET RESULTS,48.0,47.0,open singles net results,,0.0,0.0,missing_division_or_unmatched_division,101.0,29.0,330.0,261.0,19.0,WORLD FOOTBAG CHAMPIONSHIPS,2000.0
1035277529,Open Mixed Doubles Routines,47.0,43.0,open mixed doubles routines,,0.0,0.0,missing_division_or_unmatched_division,99.0,21.0,289.0,192.0,15.0,24th Annual WORLD FOOTBAG CHAMPIONSHIPS,2003.0
1294262550,26. Marc Brunet,47.0,47.0,26 marc brunet,,0.0,0.0,missing_division_or_unmatched_division,99.0,20.0,215.0,111.0,8.0,12e Open de France de Footbag,2011.0
1323272493,3. Marc Brunet / Vincent Rousseau (France,47.0,36.0,3 marc brunet vincent rousseau france,,0.0,0.0,missing_division_or_unmatched_division,99.0,38.0,706.0,330.0,18.0,33rd IFPA WORLD FOOTBAG CHAMPIONSHIPS,2012.0
1311699287,DOUBLES,64.0,17.0,doubles,Doubles,15.0,15.0,truncated_division,98.0,7.0,72.0,36.0,3.0,3ra Copa X-PRO,2011.0
1694170899,Request Contest,60.0,11.0,request contest,Request Contest,11.0,11.0,truncated_division,98.0,8.0,87.0,85.0,8.0,XXIII Polish Footbag Championships - Warsaw 2023,2023.0
1265745512,Open Mixed Doubles Net,58.0,32.0,open mixed doubles net,Open Mixed Doubles Net,9.0,9.0,truncated_division,98.0,106.0,495.0,267.0,20.0,31st IFPA WORLD FOOTBAG CHAMPIONSHIPS,2010.0
1347475695,Open Doubles Net,56.0,44200.0,open doubles net,Open Doubles Net,8.0,8.0,truncated_division,96.0,5.0,71.0,23.0,2.0,Carnabal Footbag Contest,2012.0
1357642226,Results for *Bembel Cup* (2013) Open Doubles Net,45.0,2013.0,results for bembel cup 2013 open doubles net,,0.0,0.0,missing_division_or_unmatched_division,95.0,6.0,45.0,22.0,1.0,*Bembel Cup*,2013.0
1035277529,INTERMEDIATE SINGLES FREESTYLE RANK,44.0,43.0,intermediate singles freestyle rank,,0.0,0.0,missing_division_or_unmatched_division,93.0,21.0,289.0,192.0,15.0,24th Annual WORLD FOOTBAG CHAMPIONSHIPS,2003.0
1368559562,Open Doubles,44.0,22.0,open doubles,,0.0,0.0,missing_division_or_unmatched_division,93.0,8.0,96.0,39.0,2.0,4ta Copa Venezuela,2013.0
1418127354,Open Footbag Golf Results,44.0,16.0,open footbag golf results,,0.0,0.0,missing_division_or_unmatched_division,93.0,7.0,113.0,25.0,3.0,Bembel Cup 2015 and 15 Years FrankfurtFootbag,2015.0
915561090,Results for WORLD FOOTBAG CHAMPIONSHIPS (1999) Open Singles Net,43.0,44.0,results for world footbag championships 1999 open singles net,,0.0,0.0,missing_division_or_unmatched_division,91.0,15.0,43.0,226.0,19.0,WORLD FOOTBAG CHAMPIONSHIPS,1999.0
1286381599,Mixed Doubles,42.0,21.0,mixed doubles,,0.0,0.0,missing_division_or_unmatched_division,89.0,12.0,90.0,57.0,5.0,4to Campeonato Suramericano de Footbag,2010.0
1393501611,Results for Bembel Cup (2014) Open Doubles Net,42.0,14.0,results for bembel cup 2014 open doubles net,,0.0,0.0,missing_division_or_unmatched_division,89.0,5.0,42.0,14.0,1.0,Bembel Cup 2014,2014.0
1418127354,Open Singles Golf,47.0,16.0,open singles golf,Open Singles Golf,3.0,3.0,truncated_division,88.0,7.0,113.0,25.0,3.0,Bembel Cup 2015 and 15 Years FrankfurtFootbag,2015.0
1173467292,Shred30,40.0,8.0,shred30,,0.0,0.0,missing_division_or_unmatched_division,85.0,14.0,61.0,16.0,2.0,4th annual Montana Freestyle Jam,2007.0
1269266785,31. Marc Brunet,40.0,48.0,31 marc brunet,,0.0,0.0,missing_division_or_unmatched_division,85.0,26.0,373.0,193.0,14.0,12th Annual IFPA European Footbag Championships - Brussels,2010.0
1293877677,FOOTBAG FREESTYLE RESULTS,40.0,36.0,footbag freestyle results,,0.0,0.0,missing_division_or_unmatched_division,85.0,25.0,634.0,381.0,22.0,32nd IFPA WORLD FOOTBAG CHAMPIONSHIPS,2011.0
1265745512,Results for 31st IFPA WORLD FOOTBAG CHAMPIONSHIPS (2010) Open Singles Net,39.0,39.0,results for 31st ifpa world footbag championships 2010 open singles net,,0.0,0.0,missing_division_or_unmatched_division,83.0,106.0,495.0,267.0,20.0,31st IFPA WORLD FOOTBAG CHAMPIONSHIPS,2010.0
1293877677,Open Circle Contest,83.0,36.0,open circle contest,Open Circle Contest,42.0,36.0,truncated_division,82.0,25.0,634.0,381.0,22.0,32nd IFPA WORLD FOOTBAG CHAMPIONSHIPS,2011.0
1335381794,Singles Net Results,38.0,19.0,singles net results,,0.0,0.0,missing_division_or_unmatched_division,81.0,7.0,81.0,25.0,2.0,French Footbag Championships 2012,2012.0
1105686115,12:00 p.m.- Walk over to Bahen Centre & shred till we die,37.0,37.0,12 00 p m walk over to bahen centre and shred till we die,,0.0,0.0,missing_division_or_unmatched_division,79.0,12.0,44.0,0.0,0.0,,
1449259560,Results for 37th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS (2016) Open Singles Net,37.0,37.0,results for 37th annual ifpa world footbag championships 2016 open singles net,,0.0,0.0,missing_division_or_unmatched_division,79.0,72.0,187.0,177.0,13.0,37th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2016,2016.0
1265745512,Women's Shred:30,44.0,17.0,women shred 30,Women's Shred:30,5.0,5.0,truncated_division,78.0,106.0,495.0,267.0,20.0,31st IFPA WORLD FOOTBAG CHAMPIONSHIPS,2010.0
1389338303,Results for 16th Annual IFPA European Footbag Championships (2014) Open Singles Net,36.0,37.0,results for 16th annual ifpa european footbag championships 2014 open singles net,,0.0,0.0,missing_division_or_unmatched_division,77.0,13.0,186.0,88.0,6.0,16th Annual IFPA European Footbag Championships,2014.0
1547415984,request contest,65.0,33.0,request contest,Request Contest,27.0,26.0,truncated_division,76.0,23.0,296.0,284.0,22.0,40th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2019,2019.0
1135116604,Results for 27th IFPA WORLD FOOTBAG CHAMPIONSHIPS (2006) Open Singles Net,35.0,35.0,results for 27th ifpa world footbag championships 2006 open singles net,,0.0,0.0,missing_division_or_unmatched_division,75.0,87.0,401.0,267.0,18.0,27th IFPA WORLD FOOTBAG CHAMPIONSHIPS,2006.0
1378821205,Singles Net Results,35.0,17.0,singles net results,,0.0,0.0,missing_division_or_unmatched_division,75.0,11.0,81.0,27.0,2.0,Championnat de France de Footbag 2013,2013.0
1265745512,Open Circle Contest,74.0,33.0,open circle contest,Open Circle Contest,37.0,33.0,truncated_division,74.0,106.0,495.0,267.0,20.0,31st IFPA WORLD FOOTBAG CHAMPIONSHIPS,2010.0
1293877677,Open Doubles Net,74.0,37.0,open doubles net,Open Doubles Net,37.0,37.0,truncated_division,74.0,25.0,634.0,381.0,22.0,32nd IFPA WORLD FOOTBAG CHAMPIONSHIPS,2011.0
1021665982,doubles net,34.0,2002.0,doubles net,,0.0,0.0,missing_division_or_unmatched_division,73.0,24.0,63.0,55.0,3.0,2002 East Coast Footbag Championships,2002.0
1049457912,Footbag Net,34.0,16.0,footbag net,,0.0,0.0,missing_division_or_unmatched_division,73.0,34.0,89.0,81.0,9.0,2003 East Coast Championships - The BIG 2-0,2003.0
1413607134,Singles Net,34.0,17.0,singles net,,0.0,0.0,missing_division_or_unmatched_division,73.0,10.0,102.0,28.0,2.0,18th Annual Finnish Footbag Open,2014.0
941418343,OPEN SINGLES FREESTYLE RESULTS,34.0,34.0,open singles freestyle results,,0.0,0.0,missing_division_or_unmatched_division,73.0,29.0,330.0,261.0,19.0,WORLD FOOTBAG CHAMPIONSHIPS,2000.0
1361207019,Open Doubles Net,72.0,36.0,open doubles net,Open Doubles Net,36.0,36.0,truncated_division,72.0,28.0,343.0,199.0,16.0,34th IFPA WORLD FOOTBAG CHAMPIONSHIPS,2013.0
1269266785,Open Circle Contest,33.0,27.0,open circle contest,,0.0,0.0,missing_division_or_unmatched_division,71.0,26.0,373.0,193.0,14.0,12th Annual IFPA European Footbag Championships - Brussels,2010.0
1277805979,9. Marc Brunet,33.0,13.0,9 marc brunet,,0.0,0.0,missing_division_or_unmatched_division,71.0,11.0,83.0,30.0,4.0,French Footbag Championships 2010,2010.0
1678957450,Results for 42nd Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS (2023) Open Singles Net,33.0,33.0,results for 42nd annual ifpa world footbag championships 2023 open singles net,,0.0,0.0,missing_division_or_unmatched_division,71.0,28.0,232.0,142.0,15.0,42nd Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2023,2023.0
980969461,Results for WORLD FOOTBAG CHAMPIONSHIPS (2001) Open Singles Net,33.0,26.0,results for world footbag championships 2001 open singles net,,0.0,0.0,missing_division_or_unmatched_division,71.0,37.0,197.0,203.0,21.0,WORLD FOOTBAG CHAMPIONSHIPS,2001.0
1323272493,Open Circle Contest,71.0,32.0,open circle contest,Open Circle Contest,36.0,30.0,truncated_division,70.0,38.0,706.0,330.0,18.0,33rd IFPA WORLD FOOTBAG CHAMPIONSHIPS,2012.0
1370276202,Open Mixed Doubles Net,42.0,15.0,open mixed doubles net,Open Mixed Doubles Net,7.0,7.0,truncated_division,70.0,15.0,70.0,35.0,3.0,Swiss Footbag Open & Championships,2013.0
1740391168,Golf,38.0,60435.0,golf,Golf,3.0,3.0,truncated_division,70.0,22.0,95.0,60.0,8.0,25th IFPA European Footbag Championships 2025,2025.0
1323272493,Open Sick 3-Trick,32.0,21.0,open sick 3 trick,,0.0,0.0,missing_division_or_unmatched_division,69.0,38.0,706.0,330.0,18.0,33rd IFPA WORLD FOOTBAG CHAMPIONSHIPS,2012.0
1412859519,Results Open Doubles Net,32.0,16.0,results open doubles net,,0.0,0.0,missing_division_or_unmatched_division,69.0,7.0,67.0,22.0,2.0,15th Anniversary of RNH Footbag (RNH Contest 2014),2014.0
1102576153,Open Doubles Net Results,31.0,31.0,open doubles net results,,0.0,0.0,missing_division_or_unmatched_division,67.0,26.0,375.0,238.0,15.0,26th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,2005.0
1219405634,Golf,31.0,22.0,golf,,0.0,0.0,missing_division_or_unmatched_division,67.0,19.0,163.0,96.0,10.0,8th Annual Polish Footbag Championships 2008,2008.0
1219405634,Open Circle Contest,31.0,24.0,open circle contest,,0.0,0.0,missing_division_or_unmatched_division,67.0,19.0,163.0,96.0,10.0,8th Annual Polish Footbag Championships 2008,2008.0
1353380057,DOUBLES,31.0,19.0,doubles,,0.0,0.0,missing_division_or_unmatched_division,67.0,8.0,65.0,31.0,3.0,5ta Copa X-PRO,2013.0
1293877917,Open Singles Net,68.0,36.0,open singles net,Open Singles Net,35.0,36.0,truncated_division,66.0,38.0,240.0,140.0,18.0,13th Annual IFPA European Footbag Championships,2011.0
1389338303,Open Doubles Net,55.0,22.0,open doubles net,Open Doubles Net,22.0,22.0,truncated_division,66.0,13.0,186.0,88.0,6.0,16th Annual IFPA European Footbag Championships,2014.0
1323272493,Women's Circle Contest,41.0,33.0,women circle contest,Women's Circle Contest,8.0,6.0,truncated_division,66.0,38.0,706.0,330.0,18.0,33rd IFPA WORLD FOOTBAG CHAMPIONSHIPS,2012.0
1231432184,Singles Freestyle,30.0,24.0,singles freestyle,,0.0,0.0,missing_division_or_unmatched_division,65.0,12.0,48.0,63.0,6.0,Todexon 10,2009.0
1417958417,Results for 17th Annual IFPA European Footbag Championships (2015) Open Singles Net,30.0,30.0,results for 17th annual ifpa european footbag championships 2015 open singles net,,0.0,0.0,missing_division_or_unmatched_division,65.0,13.0,118.0,58.0,3.0,17th Annual IFPA European Footbag Championships,2015.0
876336655,"Mixed Doubles, Intermediate Singles, and Intermediate Doubles. The entry fee",30.0,25.0,mixed doubles intermediate singles and intermediate doubles the entry fee,,0.0,0.0,missing_division_or_unmatched_division,65.0,17.0,68.0,67.0,7.0,Air-A-Zona 2nd Annual Footbag Net Championships,1998.0
919703711,13th Annual Vancouver Open Footbag Net Tournament,30.0,23.0,13th annual vancouver open footbag net tournament,,0.0,0.0,missing_division_or_unmatched_division,65.0,20.0,57.0,57.0,9.0,13th Annual Vancouver Open Footbag Net Tournament,1999.0
941418343,OPEN DOUBLES NET RESULTS,30.0,30.0,open doubles net results,,0.0,0.0,missing_division_or_unmatched_division,65.0,29.0,330.0,261.0,19.0,WORLD FOOTBAG CHAMPIONSHIPS,2000.0
1195585401,Open Doubles - For The Green Cup,54.0,32.0,open doubles for the green cup,Open Doubles - For The Green Cup,22.0,22.0,truncated_division,64.0,42.0,67.0,66.0,4.0,The 2008 Green Cup Presented by Chaos,2008.0
1089373321,Freestyle and Net,29.0,24.0,freestyle and net,,0.0,0.0,missing_division_or_unmatched_division,63.0,23.0,139.0,98.0,12.0,6e Open de France de Footbag,2004.0
1226205667,Open Doubles,29.0,15.0,open doubles,,0.0,0.0,missing_division_or_unmatched_division,63.0,15.0,124.0,26.0,4.0,2nd IFPA South American Footbag Championships,2008.0
1226679678,57. Marc Brunet (France,29.0,72.0,57 marc brunet france,,0.0,0.0,missing_division_or_unmatched_division,63.0,30.0,345.0,237.0,20.0,30th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,2009.0
1235653935,http://eurosfootbag09.strzelin.net,29.0,21.0,http eurosfootbag09 strzelin net,,0.0,0.0,missing_division_or_unmatched_division,63.0,47.0,200.0,138.0,18.0,11th Annual IFPA European Footbag Championships - Strzelin,2009.0
1269266785,13. Vincent Rousseau / Marc Brunet,29.0,29.0,13 vincent rousseau marc brunet,,0.0,0.0,missing_division_or_unmatched_division,63.0,26.0,373.0,193.0,14.0,12th Annual IFPA European Footbag Championships - Brussels,2010.0
1329132977,Open Doubles Net,29.0,14.0,open doubles net,,0.0,0.0,missing_division_or_unmatched_division,63.0,26.0,124.0,84.0,14.0,Swiss Footbag Championships 2012,2012.0
1339389008,Results for 3ra Copa Venezuela (2012) Open Singles Net,29.0,29.0,results for 3ra copa venezuela 2012 open singles net,,0.0,0.0,missing_division_or_unmatched_division,63.0,11.0,105.0,51.0,4.0,3ra Copa Venezuela,2012.0
1646855336,Results for 22nd Annual IFPA European Footbag Championships (2022) Open Singles Net,29.0,29.0,results for 22nd annual ifpa european footbag championships 2022 open singles net,,0.0,0.0,missing_division_or_unmatched_division,63.0,48.0,130.0,51.0,3.0,22nd Annual IFPA European Footbag Championships,2022.0
1686926080,OPEN DOUBLES (side-out,29.0,12.0,open doubles side out,,0.0,0.0,missing_division_or_unmatched_division,63.0,5.0,29.0,29.0,3.0,Akisphere,2023.0
1278603677,Open Circle Contest,46.0,14.0,open circle contest,Open Circle Contest,15.0,14.0,truncated_division,62.0,35.0,172.0,56.0,6.0,10th Annual Polish Footbag Championships 2010,2010.0
1256202918,Open Circle Contest,28.0,13.0,open circle contest,,0.0,0.0,missing_division_or_unmatched_division,61.0,37.0,184.0,137.0,9.0,11e Open de France de Footbag,2010.0
1269266785,Golf,28.0,21.0,golf,,0.0,0.0,missing_division_or_unmatched_division,61.0,26.0,373.0,193.0,14.0,12th Annual IFPA European Footbag Championships - Brussels,2010.0
1349043745,Results for 15 Years FC Footstar (2013) Open Singles Net,28.0,28.0,results for 15 years fc footstar 2013 open singles net,,0.0,0.0,missing_division_or_unmatched_division,61.0,24.0,176.0,82.0,7.0,15 Years FC Footstar,2013.0
1270631935,Open Singles Net,47.0,17.0,open singles net,Open Singles Net,17.0,17.0,truncated_division,60.0,14.0,101.0,38.0,2.0,RNH Contest 2010,2010.0
1286381599,Open Doubles,42.0,14.0,open doubles,Open Doubles,12.0,12.0,truncated_division,60.0,12.0,90.0,57.0,5.0,4to Campeonato Suramericano de Footbag,2010.0
1706036811,Doubles Routines,32.0,14.0,doubles routines,Doubles Routines,2.0,2.0,truncated_division,60.0,30.0,168.0,168.0,18.0,43rd Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2024,2024.0
1191627566,Check out the following badass list of shredders,27.0,28.0,check out the following badass list of shredders,,0.0,0.0,missing_division_or_unmatched_division,59.0,11.0,35.0,7.0,2.0,Cornell Footbag Jam 2,2007.0
1224962900,Golf,27.0,19.0,golf,,0.0,0.0,missing_division_or_unmatched_division,59.0,36.0,96.0,50.0,11.0,Zocha Jam 2008,2008.0
1235149093,13. Marc Brunet,27.0,22.0,13 marc brunet,,0.0,0.0,missing_division_or_unmatched_division,59.0,40.0,130.0,97.0,7.0,RNH Contest 2009,2009.0
1251990500,Doubles Net,27.0,13.0,doubles net,,0.0,0.0,missing_division_or_unmatched_division,59.0,29.0,126.0,47.0,5.0,6th Annual Wilanow Footbag Open 2009,2009.0
1278603677,Open Golf,27.0,13.0,open golf,,0.0,0.0,missing_division_or_unmatched_division,59.0,35.0,172.0,56.0,6.0,10th Annual Polish Footbag Championships 2010,2010.0
1297811412,"Freestyle, Net, 2 Squares, Golf",27.0,13.0,freestyle net 2 squares golf,,0.0,0.0,missing_division_or_unmatched_division,59.0,36.0,245.0,154.0,11.0,11th Annual Polish Footbag Championships 2011,2011.0
1301837216,"Results for The King of the Hill , presented by Aki Qubec (2011) Open Singles Net",27.0,9.0,results for the king of the hill presented by aki qubec 2011 open singles net,,0.0,0.0,missing_division_or_unmatched_division,59.0,3.0,27.0,11.0,1.0,"The King of the Hill 2011, presented by Aki Québec",2011.0
1362657553,Results for 15th Annual IFPA European Footbag Championships (2013) Open Singles Net,27.0,29.0,results for 15th annual ifpa european footbag championships 2013 open singles net,,0.0,0.0,missing_division_or_unmatched_division,59.0,22.0,164.0,54.0,4.0,15th Annual IFPA European Footbag Championships,2013.0
1713276656,1era Copa Footbag Net - Altos Mirandinos,27.0,18.0,1era copa footbag net altos mirandinos,,0.0,0.0,missing_division_or_unmatched_division,59.0,3.0,27.0,27.0,2.0,1era Copa Footbag Net - Altos Mirandinos,2024.0
1226205667,Open Circle Contest,36.0,29.0,open circle contest,Open Circle Contest,7.0,7.0,truncated_division,58.0,15.0,124.0,26.0,4.0,2nd IFPA South American Footbag Championships,2008.0
1190256479,Casual Shred in Washington Square,26.0,26.0,casual shred in washington square,,0.0,0.0,missing_division_or_unmatched_division,57.0,21.0,55.0,13.0,4.0,1st Annual NYFA Freestyle Symposium,2007.0
1623054449,SHRED-OFF,26.0,13.0,shred off,,0.0,0.0,missing_division_or_unmatched_division,57.0,15.0,48.0,27.0,4.0,2021 IFPA Online World Footbag Freestyle Championships,2021.0
1646387871,Results for 41st IFPA WORLD FOOTBAG CHAMPIONSHIPS (2022) Open Singles Net,26.0,26.0,results for 41st ifpa world footbag championships 2022 open singles net,,0.0,0.0,missing_division_or_unmatched_division,57.0,21.0,165.0,120.0,13.0,41st IFPA WORLD FOOTBAG CHAMPIONSHIPS 2022,2022.0
991285803,"Singles and Doubles Net, Open and Intermediate",26.0,19.0,singles and doubles net open and intermediate,,0.0,0.0,missing_division_or_unmatched_division,57.0,6.0,40.0,40.0,4.0,Montreal International Footbag Net Championships 2001,2001.0
1194517448,Open Shred:30,56.0,28.0,open shred 30,Open Shred:30,28.0,28.0,truncated_division,56.0,40.0,522.0,319.0,21.0,2008 IFPA WORLD FOOTBAG CHAMPIONSHIPS,2008.0
1371821574,Open Freestyle Challenge,40.0,10.0,open freestyle challenge,Open Freestyle Challenge,12.0,10.0,truncated_division,56.0,12.0,74.0,37.0,4.0,Swiss Jam Zürich,2013.0
1417735560,Master Doubles Net,34.0,25.0,master doubles net,Master Doubles Net,6.0,5.0,truncated_division,56.0,26.0,304.0,273.0,21.0,36th IFPA WORLD FOOTBAG CHAMPIONSHIPS,2015.0
