year,event_id,event_name,n_placements,n_divs,root_cause,cause_note,missing_errors,missing_warnings,present,divisions
2005,1102576153,26th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,238,15,OK,,,,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net; Open Freestyle Singles; Open Freestyle Doubles,Intermediate Doubles Net; Intermediate Freestyle; Intermediate Shred; Intermediate Singles Net; Mixed Doubles Freestyle; Mixed Doubles Net; Open Doubles Freestyle; Open Doubles Net; Open Shred; Open Singles Freestyle; Open Singles Net; Women's Doubles Net; Women's Freestyle; Women's Shred; Women's Singles Net
2006,1135116604,27th IFPA WORLD FOOTBAG CHAMPIONSHIPS,268,17,OK,,,,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net; Open Freestyle Singles; Women's Freestyle Singles; Open Freestyle Doubles; Women's Freestyle Doubles,Circle Contest; Intermediate Doubles Net; Intermediate Singles Freestyle; Intermediate Singles Net; Open Doubles Freestyle; Open Doubles Net; Open Golf; Open Mixed Doubles Freestyle; Open Mixed Doubles Net; Open Shred:30; Open Singles Freestyle; Open Singles Net; Open Women's Doubles Freestyle; Open Women's Doubles Net; Open Women's Singles Freestyle; Open Women's Singles Net; Women's Shred:30
2007,1163784775,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,269,19,PARTIAL,"Some disciplines present, others absent from source",,Women's Freestyle Doubles,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net; Open Freestyle Singles; Women's Freestyle Singles; Open Freestyle Doubles,Circle Contest Final; Intermediate Doubles Net; Intermediate Shred :30; Intermediate Singles Freestyle; Intermediate Singles Net; Masters Doubles Net; Masters Singles Net; Mixed Doubles Freestyle; Mixed Doubles Net; Open Doubles Freestyle; Open Doubles Net; Open Shred :30; Open Singles Freestyle; Open Singles Net; Open Women's Doubles Net; Open Women's Singles Net; Sick 3; Women's Shred :30; Women's Singles Freestyle
2008,1194517448,2008 IFPA WORLD FOOTBAG CHAMPIONSHIPS,204,9,PARTIAL,"Some disciplines present, others absent from source",,Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net; Open Freestyle Doubles; Women's Freestyle Doubles,Open Singles Net; Open Freestyle Singles; Women's Freestyle Singles,Intermediate Singles Routines; Open Circle Contest; Open Shred:30; Open Sick 3-Trick; Open Singles Net; Open Singles Routines; Women's Circle Contest; Women's Shred:30; Women's Singles Routines
2009,1226679678,30th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,237,20,PARTIAL,"Some disciplines present, others absent from source",,Women's Freestyle Doubles,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net; Open Freestyle Singles; Women's Freestyle Singles; Open Freestyle Doubles,Intermediate Doubles Net; Intermediate Singles Freestyle; Intermediate Singles Net; Master's Doubles Net; Master's Singles Net; Mixed Doubles Net; Open 2-Square; Open Doubles Freestyle; Open Doubles Net; Open Golf; Open Mixed Doubles Freestyle; Open Request Contest; Open Shred:30; Open Sick3-Trick; Open Singles Freestyle; Open Singles Net; Women's Doubles Net; Women's Open Shred:30; Women's Open Singles Freestyle; Women's Singles Net
2010,1265745512,31st IFPA WORLD FOOTBAG CHAMPIONSHIPS,268,20,PARTIAL,"Some disciplines present, others absent from source",,Women's Freestyle Doubles,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net; Open Freestyle Singles; Women's Freestyle Singles; Open Freestyle Doubles,Intermediate Doubles Net; Intermediate Singles Net; Intermediate Singles Routines; Master's Doubles Net; Master's Singles Net; Open 2-Square; Open Circle Contest; Open Doubles Net; Open Doubles Routines; Open Mixed Doubles Net; Open Mixed Doubles Routines; Open Request Contest; Open Shred:30; Open Singles Net; Open Singles Routines; Open Women's Doubles Net; Open Women's Singles Net; Women's Circle Contest; Women's Shred:30; Women's Singles Routines
2011,1293877677,32nd IFPA WORLD FOOTBAG CHAMPIONSHIPS,381,22,PARTIAL,"Some disciplines present, others absent from source",,Women's Freestyle Doubles,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net; Open Freestyle Singles; Women's Freestyle Singles; Open Freestyle Doubles,Intermediate Doubles Net; Intermediate Request Contest; Intermediate Shred:30; Intermediate Singles Net; Intermediate Singles Routines; Masters Singles Net; Mixed Doubles Net; Open 2-Square; Open Circle Contest; Open Doubles Net; Open Doubles Routines; Open Mixed Doubles Routines; Open Request Contest; Open Shred:30; Open Sick 3-Trick Contest; Open Singles Net; Open Singles Routines; Women's Circle Contest; Women's Doubles Net; Women's Shred:30; Women's Singles Net; Women's Singles Routines
2012,1323272493,33rd IFPA WORLD FOOTBAG CHAMPIONSHIPS,330,18,PARTIAL,"Some disciplines present, others absent from source",,Open Freestyle Doubles; Women's Freestyle Doubles,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net; Open Freestyle Singles; Women's Freestyle Singles,Intermediate Doubles Net; Intermediate Singles Net; Master's Doubles Net; Master's Singles Net; Mixed Doubles Net; Mixed Dou­Bles Rou­Tines; Open Cir­Cle Con­Test; Open Doubles Net; Open Dou­Bles Rou­Tines; Open Freestyle Rou­Tines; Open Shred 30; Open Singles Net; Request Contest; Women's Cir­Cle Con­Test; Women's Doubles Net; Women's Freestyle Rou­Tines; Women's Shred 30; Women's Singles Net
2013,1361207019,34th IFPA WORLD FOOTBAG CHAMPIONSHIPS,199,16,PARTIAL,"Some disciplines present, others absent from source",,Open Freestyle Doubles; Women's Freestyle Doubles,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net; Open Freestyle Singles; Women's Freestyle Singles,Intermediate Doubles Net; Intermediate Singles Net; Intermediate Singles Routines; Open 2-Square; Open Circle Contest; Open Doubles Net; Open Mixed Doubles Net; Open Shred:30; Open Sick 3-Trick; Open Singles Net; Open Singles Routines; Women's Circle Contest; Women's Doubles Net; Women's Shred:30; Women's Singles Net; Women's Singles Routines
2014,1391189882,35th IFPA WORLD FOOTBAG CHAMPIONSHIPS,246,18,PARTIAL,"Some disciplines present, others absent from source",,Women's Freestyle Doubles,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net; Open Freestyle Singles; Women's Freestyle Singles; Open Freestyle Doubles,Intermediate Singles Routines; Master Doubles Net; Master Singles Net; Open 2-Square; Open Circle Contest; Open Doubles Net; Open Doubles Routines; Open Mixed Doubles Net; Open Shred:30; Open Sick 3-Trick; Open Singles Golf; Open Singles Net; Open Singles Routines; Women's Circle Contest; Women's Doubles Net; Women's Shred:30; Women's Singles Net; Women's Singles Routines
2015,1417735560,36th IFPA WORLD FOOTBAG CHAMPIONSHIPS,273,21,PARTIAL,"Some disciplines present, others absent from source",,Women's Freestyle Doubles,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net; Open Freestyle Singles; Women's Freestyle Singles; Open Freestyle Doubles,Intermediate Sick Trick; Intermediate Singles Routines; Master Doubles Net; Master Singles Net; Open 2-Square; Open Circle Contest; Open Doubles Net; Open Doubles Routines; Open Mixed Doubles Net; Open Shred:30; Open Sick 3-Trick; Open Sick Trick; Open Singles Golf; Open Singles Net; Open Singles Routines; Women's Circle Contest; Women's Doubles Net; Women's Shred:30; Women's Sick Trick; Women's Singles Net; Women's Singles Routines
2016,1449259560,37th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2016,44,6,PARTIAL,"Some disciplines present, others absent from source",Open Singles Net,Open Doubles Net; Women's/Mixed Doubles Net; Women's Freestyle Singles; Women's Freestyle Doubles,Women's Singles Net; Open Freestyle Singles; Open Freestyle Doubles,2-Square; Footbag Golf; Freestyle Doubles Routine; Shred30; Sick 3; Women's Singles Net
2017,1471686537,38th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2017,125,14,INCOMPLETE_POST,2017 Worlds results sparsely posted; missing many freestyle divisions,,Women's Freestyle Singles; Open Freestyle Doubles; Women's Freestyle Doubles,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net; Open Freestyle Singles,2-Square; Intermediate Circle Contest; Intermediate Doubles Net; Intermediate Singles Net; Masters Doubles Net; Masters Singles Net; Mixed Doubles Net; Open Circle Contest; Open Doubles Net; Open Singles Net; Request Contest; Shred 30; Women's Doubles Net; Women's Singles Net
2018,1519215398,39th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2018,161,16,PARTIAL,"Some disciplines present, others absent from source",,Open Doubles Net; Women's Freestyle Doubles,Open Singles Net; Women's Singles Net; Women's/Mixed Doubles Net; Open Freestyle Singles; Women's Freestyle Singles; Open Freestyle Doubles,Doubles Freestyle Battles; Intermediate Singles Net; Mixed Doubles Net; Open Circle; Open Freestyle Battles; Open Freestyle Routines; Open Singles Net; Request 10%; Request Contest; Shred30; Sick1; Sick3; Women's Circle; Women's Doubles Net; Women's Freestyle Routines; Women's Singles Net
2019,1547415984,40th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2019,294,22,PARTIAL,"Some disciplines present, others absent from source",,Women's Freestyle Doubles,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net; Open Freestyle Singles; Women's Freestyle Singles; Open Freestyle Doubles,2 Square; Battle Contest; Double Battles Contest; Doubles Freestyle Routines; Footbag Golf; Intermediate Circle; Intermediate Doubles Net; Intermediate Singles Net; Master Singles Net; Masters Doubles Net; Open Circle; Open Doubles Net; Open Freestyle Routines; Open Mixed Doubles Net; Open Singles Net; Request Contest; Shred 30; Sick 1; Sick 3; Women Freestyle Routines; Women's Doubles Net; Women's Singles Net
2021,1623054449,2021 IFPA Online World Footbag Freestyle Championships,27,4,OK,,,,,4 Fairy Liu Double Orbit > Butterfly > Dlo; Intermediate; Open; Rank Player Combo (Judged) Combo
2022,1646387871,41st IFPA WORLD FOOTBAG CHAMPIONSHIPS 2022,118,13,PARTIAL,"Some disciplines present, others absent from source",,Women's Freestyle Singles; Open Freestyle Doubles; Women's Freestyle Doubles,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net; Open Freestyle Singles,Freestyle 1M Routines; Freestyle Battles; Freestyle Request Contest; Freestyle Sick 3; Freestyle Sideline Last Man Standing; Masters Singles Net; Mixed Doubles Net; Open 2 Square; Open Doubles Net; Open Golf; Open Singles Net; Womens Doubles Net; Womens Singles Net
2023,1678957450,42nd Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2023,141,14,PARTIAL,"Some disciplines present, others absent from source",,Women's Freestyle Singles; Open Freestyle Doubles; Women's Freestyle Doubles,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net; Open Freestyle Singles,Battles; Circle Contest; Intermediate Doubles Net; Intermediate Singles Net; Master Doubles Net; Master Singles Net; Mixed Doubles Net; Open Doubles Net; Open Singles Net; Request Contest; Routines; Shred 30; Sick 3; Women's Singles Net
2024,1706036811,43rd Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2024,168,18,INCOMPLETE_POST,"Women's freestyle divisions (Routines, Battles, Shred 30, Sick 3) were not posted to footbag.org by the 2024 organiser",,Women's Freestyle Doubles,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net; Open Freestyle Singles; Women's Freestyle Singles; Open Freestyle Doubles,Battles; Circle Contest; Doubles Routines; Intermediate Doubles Net; Intermediate Singles Net; Last Man Standing; Master Doubles Net; Master Singles Net; Mixed Doubles Net; Open Doubles Net; Open Singles Net; Request Contest; Routines; Shred 30; Sick 3; Women Circle Contest; Women's Doubles Net; Women's Singles Net
2025,1741024635,44th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2025,209,21,PARTIAL,"Some disciplines present, others absent from source",,Women's Freestyle Doubles,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net; Open Freestyle Singles; Women's Freestyle Singles; Open Freestyle Doubles,2-Square; Battles; Circle Contest; Footbag Golf; Freestyle Overall; Intermediate Doubles Net; Intermediate Singles Net; Last Man Standing; Master Doubles Net; Master Singles Net; Mixed Doubles Net; Open Doubles Net; Open Doubles Routines; Open Singles Net; Open Singles Routines; Request Contest; Shred 30; Sick 3; Women's Freestyle; Women’S Doubles Net; Women’S Singles Net
