trick_canon,trick_type,total_mentions,direct_mentions,context_window_mentions,team_mentions,resolved_mentions,unique_players,unique_events,first_year,last_year,sample_event,sample_line
drifter,full_trick,28,15,13,0,28,16,22,2004,2022,Shercle Session #1,Blurry DLO > Pixie Drifter > Scorpion's Tail
clipper,full_trick,26,13,9,0,22,17,19,1997,2021,Cinco de Mayo Footbag Fest,- clipper>ripwalk>blur
paradox,full_trick,24,9,15,0,24,16,16,2000,2025,7e Open de France de Footbag,Paradox Whirling Swirl
blurriest,full_trick,23,10,13,0,23,21,19,2002,2018,2002 WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,1. Sunil Jani (Jani-Walker > Blurriest > Flurry)
osis,full_trick,22,13,9,0,21,19,19,2001,2021,2002 WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,3. Jeremy Benton (Blurry Whirl > Osis > Paradox Torque)
fusion,full_trick,21,17,4,0,20,11,17,2005,2019,Czech Footbag Championships,3. Ale? Zelinka (Sumo>Fusion>PS Eggbeater)
gyro,style_term,20,13,7,0,20,17,15,2002,2021,Cinco de Mayo Footbag Fest,Alex Faber- Gyro Dlo
fog,full_trick,20,12,8,0,20,14,16,2000,2021,6th Annual IFPA European Footbag Championships,2 Weber Honza (Alpine Legbeater - Fog - Pixie same Blender)
superfly,full_trick,20,11,9,0,20,14,18,2004,2016,TODEXON 5,- PS Whirl > Superfly > Whirwind
paradox torque,full_trick,19,14,5,0,19,16,13,2002,2025,2002 WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,3. Jeremy Benton (Blurry Whirl > Osis > Paradox Torque)
mobius,full_trick,17,15,2,0,16,15,16,2005,2025,Shercle Session #2,"1. Honza Weber (Pixie Mobius, Superego, Alpine Foodprocessor)"
smear,full_trick,16,10,6,0,16,15,13,2004,2021,3rd Annual Seattle Juggling and Footbag Festival,1. Kevin Crowly: Blur>Smear>Pixie butterfly
paradox whirl,full_trick,15,9,6,0,15,13,13,2002,2014,Tri-State Area Footbag Jam,2nd: Greg Nelson (Paradox Drifter>Paradox Whirl>Paradox Torque)
pickup,full_trick,15,9,6,0,15,10,10,1999,2021,Santa Cruz Invitational,3. Stu Sapia - pixie>toe>pickup
spinning osis,full_trick,13,7,6,0,13,10,11,2003,2021,RNH Contest 2003,Spinning Osis
paradox blender,full_trick,11,6,5,0,11,9,9,2002,2008,Tri-State Area Footbag Jam,1st: Brad Nelson (Blurry Whirl>Paradox Torque>Paradox Blender)
barfly,full_trick,10,7,3,0,10,9,10,2003,2025,RNH Contest 2003,2. Franck Rémy (75 ADDS) : Stepping Eclipse > Osis > Barfly
paradox mirage,full_trick,10,8,2,0,10,7,9,2001,2010,Zocha Jam 2004,Spining Duking Paradox Mirage> Toe Blur> Alpine
ducking clipper,full_trick,9,7,2,0,9,9,8,2006,2021,U. S. Open Footbag Championships,1. Fletcher Funk (Ripwalk-Ducking Clipper-Whirl)
ducking osis,full_trick,9,7,2,0,9,9,8,2007,2022,The 9th Hackrifice Open 2007,2-Jessica Archer (ducking osis)
atom smasher,full_trick,9,2,7,0,9,8,8,2004,2021,3rd Annual Seattle Juggling and Footbag Festival,Alpine PS mirage>phoenix>pdx atom smasher
spinning clipper,full_trick,9,6,3,0,9,8,9,2003,2021,RNH Contest 2003,3. Grischa Tellenbach (RNH Footbag) : Ripwalk > Spinning Clipper >
spinning whirl,full_trick,9,3,6,0,9,8,7,2004,2021,Shercle Session #1,Blurry Whirl > PS Whirl > Spinning Whirl
tapping,style_term,8,5,3,0,8,8,7,2004,2021,6th Annual IFPA European Footbag Championships,3 Donner Oleg (Pixie Tapping Butter - Pdx legbeater - Blurriest)
ducking mirage,full_trick,7,2,5,0,7,7,7,2002,2021,Cinco de Mayo Footbag Fest,- pixie>toe ducking mirage>butterfly
symposium whirl,full_trick,7,5,2,0,7,7,7,2005,2014,7e Open de France de Footbag,4. Serge Kaldany Pixie Zooloo Symposium Whirl
flurry,full_trick,5,3,2,0,5,5,5,2002,2006,2002 WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,1. Sunil Jani (Jani-Walker > Blurriest > Flurry)
blazing,style_term,4,2,2,0,4,4,4,2006,2019,New Year's Jam 2006,1) David Clavens (Blazing Torque)
eclipse,full_trick,4,3,1,0,4,4,4,2003,2007,RNH Contest 2003,2. Franck Rémy (75 ADDS) : Stepping Eclipse > Osis > Barfly
paradox drifter,full_trick,4,3,1,0,4,4,4,2002,2012,Tri-State Area Footbag Jam,2nd: Greg Nelson (Paradox Drifter>Paradox Whirl>Paradox Torque)
parkwalk,full_trick,4,0,4,0,4,4,3,2004,2006,Zocha Jam 2004,Parkwalk
tomahawk,full_trick,4,1,3,0,3,3,4,2006,2008,8e OPEN de France de Footbag,Ducking Paradox Drifter > Tomahawk > Mullet
barraging,style_term,3,0,3,0,3,3,2,2007,2008,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,* alpine blurry whirl > barraging ss mirage > toe fog
double around the world,full_trick,3,2,1,0,3,2,2,2007,2008,3rd New Jersey Spike and Shred,Merkon > Double Around The World > Butterfly
around the world,full_trick,2,1,1,0,2,2,2,2007,2007,2007 U.S. Open Footbag Championships,8. Daryl Genz (Triple Around the World)
atomic torque,full_trick,2,1,1,0,2,2,2,2005,2005,The Hackrifice Open 2005,1) Byrin Wylie - Atomic Torque
blurry symposium whirl,full_trick,2,1,1,0,2,2,2,2001,2013,Finnstyle Footbag JAM,"1. Pekka Raitio, Järvenpää, Finland - Blurry symposium whirl"
spinning butterfly,full_trick,2,1,1,0,2,2,2,2002,2021,Cinco de Mayo Footbag Fest,- ripwalk>spinning butterfly>pdx dlo
rev whirl,full_trick,2,2,0,0,2,1,1,2007,2007,ShrEdmonton Freestyle Assembly 2007,4) Erik Chan : blurry rev whirl > stepping ss rev whirl > blurry rev
atomic butterfly,full_trick,1,0,1,0,1,1,1,2007,2007,Montreal Spring Jam 2,Sebastien and Josh: Dbl atomic butterfly>Blurry whirling swirl
guay,full_trick,1,1,0,0,1,1,1,2006,2006,Santa Cruz Invitational,3. Stu Sapia - guay
paradox symposium eggbeater,full_trick,1,1,0,0,1,1,1,2007,2007,4th annual Montana Freestyle Jam,4. Andrew Grant--Stepping Paradox Symposium Eggbeater
paradox symposium torque,full_trick,1,1,0,0,1,1,1,2010,2010,31st IFPA WORLD FOOTBAG CHAMPIONSHIPS,1. Rafal Kaleta (Poland) - bedwetter > plasma > paradox symposium torque
paradox symposium whirl,full_trick,1,1,0,0,1,1,1,2002,2002,2002 WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,2. Ryan Mulroney (Blurry Whirl > Paradox Symposium Whirl > Whirlwind)
stepping butterfly,full_trick,1,1,0,0,1,1,1,2017,2017,17th Annual Polish Footbag Championships,3. Maciek Niczyporuk (nemesis | clownface | stepping butterfly symposium
symposium dlo,full_trick,1,0,1,0,1,1,1,2008,2008,8th Annual Polish Footbag Championships 2008,3. Paweł Frączek (barraging ss Legover>Symposium Dlo>Atomic Illusion)
