event_id,event_name,year,mirror_divisions,sheet_divisions,mirror_total_rows,sheet_total_rows,completeness_ratio,known_cause
1657486956,II. Ereaga Tournament of Footbag Net,2022,1,1,5,4,0.8,no_results_posted: II.Ereaga Tournament Footbag Net 2022 — audit sees 5 rows; numbered pool/match lines inflate count; real final classification has 4; stage2 correct (p4 is a mixed doubles pair in individual event)
1669556651,III.Basque Tournament of Footbag Net (Doubles),2022,1,1,5,4,0.8,no_results_posted: III.Basque Tournament Footbag Net (Doubles) 2022 — audit sees 5 rows; numbered pool/match lines inflate count; real final classification has 4; stage2 correct
1092073845,Czech Championships 2004,2004,7,8,53,44,0.8302,seeding_double_count: Czech Footbag Championships 2004 — 'Open Freestyle' listed twice in mirror (abbreviated qualifying round + full finals listing); audit counts 8 duplicate rows from the qualifying round. Legacy file uses finals-only (44 placements). Big 1 (15 entries) recovered as 'Open Sick Trick'.
1617902706,III.Basque Tournament of Footba Net (Individual),2021,1,1,6,5,0.8333,no_results_posted: III.Basque Tournament Footba Net (Individual) 2021 — audit sees 6 rows; numbered pool/match lines inflate count; real final classification has 5; stage2 correct
1131659634,2006 Green Cup Presented by Chaos,2006,1,4,25,21,0.84,seeding_double_count: Green Cup 2006 — Round Robin + Finals double-count
1389730147,Todexon 15,2014,6,5,39,33,0.8462,seeding_double_count: Todexon 15 2014 — seeding + final (audit flagged seeding_plus_final)
1369141018,Burgas Summer Footbag Jam V,2013,2,2,13,11,0.8462,"seeding_double_count: Burgas Summer Footbag Jam V 2013 — 'open singles initial seeding' + 'open singles results' both parsed; stage2 deduplicates, audit double-counts; stage2's 11 correct finals placements are accurate"
959353403,2000 Southeast Idaho Footbag Championships,2000,3,4,20,17,0.85,seeding_double_count: SE Idaho 2000 — seeding + final (audit flagged seeding_plus_final)
1203604560,CommALaMaison Contest 2008,2008,1,1,21,18,0.8571,seeding_double_count: CommALaMaison 2008 — seeding sub-sections
1093955766,"Russian Open Footbag Series/ Stage 5, Brooks Cup",2004,1,2,7,6,0.8571,no_results_posted: Russian Open Stage 5 2004 — audit sees '3-4' group-range entry as 2 rows but stage2 captures only the individually named entries; gap ≤ 1
1032472601,The 3rd Annual Chilly Philly Freestyle Jam,2003,1,3,15,13,0.8667,no_results_posted: Chilly Philly Jam 2003 — audit counts noise entries at place 6 ('the rest of the pack'); stage2 correctly captures 13 real placements
1378666423,Danish Footbag Open,2013,5,4,62,54,0.871,seeding_double_count: Danish Footbag Open 2013 — Pool A/B/C/D + Finals all counted
1756448770,Bulgarian Footbag Championships 2025,2025,2,3,18,16,0.8889,"no_results_posted: Bulgarian Footbag Championships 2025 — match score '21:17 / 21:15 / 22:20' on its own line starts with '21', matched as 2 placements by audit; real count = 16"
1250478677,Montreal End-of-Summer Jam 1,2009,1,1,9,8,0.8889,"no_results_posted: Montreal End-of-Summer Jam 1 2009 — '2-Square' division header starts with '2' and is matched by audit placement regex (place=2, player='Square'); stage2 correctly identifies it as a division header; real count = 8"
1711181388,Bulgarian Footbag Open 2024,2024,2,2,9,8,0.8889,"no_results_posted: Bulgarian Footbag Open 2024 — match score '25/21; 25/22; 25/20' on its own line starts with '25', matched as placement by audit; real count = 8"
979089216,First Annual Eugene Freestyle Freekout!!!,2001,3,2,19,17,0.8947,"no_results_posted: First Annual Eugene Freestyle Freekout 2001 — '45 second shred' division header appears twice (pro + intermediate), each starting with '45', matched as place=45 by audit; stage2 correctly identifies as division headers; real count = 17 (1 tied-4th pair merged into single row)"
