person_id,person_canon,trick_canon,trick_type,mentions,direct_mentions,context_window_mentions,first_year,last_year,event_count,sample_event,sample_line
82c36f56-236f-4496-826b-cf59a6fcc4ed,Rafal Kaleta,torque,full_trick,4,2,2,2016,2021,3,37th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2016,2) Rafal Kaleta (PL): BS Blurry Torque
8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,torque,full_trick,4,1,3,2009,2018,2,11th Annual IFPA European Footbag Championships - Strzelin,1. Rafa³ Kaleta ? bedwetter>plasma>ps torque (Strzelin)
bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,torque,full_trick,4,0,4,2005,2007,2,The Hackrifice Open 2005,Mobuis> Pdx Torque> Pdx Torque
bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,whirl,full_trick,4,2,2,2007,2007,2,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,* ripped warrior > ps whirl > ps whirl
4e7d48ab-1639-5784-bf98-d936a3935489,Gray Chadwick,eggbeater,full_trick,4,4,0,2006,2007,2,Santa Cruz Invitational,1. Gray Chadwick - fairy eggbeater
4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,torque,full_trick,4,1,3,2007,2015,2,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,* vk: backside blurry torque
437d9bc1-f872-5687-9191-689dccedb6d0,Michal Biarda,pixie,style_term,4,4,0,2009,2010,2,30th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,10. Michal Biarda 36.7 (Rooted Pixie Legover > Quantum Illusion > Pixie Dada Curve)
0b3204c8-7e99-586e-aeb2-4186d0901fe3,Milan Benda,blurry whirl,full_trick,4,0,4,2007,2008,2,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,* fusion > blurry whirl > locomotion
8a15006e-bc85-5621-bbe6-66090397b7d2,Przemyslaw Pietrzycki,whirl,full_trick,4,3,1,2017,2018,2,17th Annual Polish Footbag Championships,6. Przemek Pietrzycki (phoenix>pdx torque>ps whirl)
78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,ripwalk,full_trick,4,1,3,2005,2012,2,7e Open de France de Footbag,"7. Tina Aeberli Blurry Whirl > Ripwalk > PS Whirl, Pixie Whirl > Paradox Whirl"
457cdaa2-3ec3-5aed-b340-708420125d7c,Will Digges,blurry whirl,full_trick,4,2,2,2007,2008,2,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,* alpine blurry whirl > barraging ss mirage > toe fog
4451a36c-41ca-55ab-87f3-d364b6f485ee,Jan Honza Weber,legover,full_trick,4,0,4,2008,2008,1,10e Open de France de Footbag,- Leviathan > Paradox Double Legover > Pixie Inspinning Osis
4451a36c-41ca-55ab-87f3-d364b6f485ee,Jan Honza Weber,paradox,full_trick,4,0,4,2008,2008,1,10e Open de France de Footbag,- Leviathan > Paradox Double Legover > Pixie Inspinning Osis
4451a36c-41ca-55ab-87f3-d364b6f485ee,Jan Honza Weber,whirl,full_trick,4,0,4,2008,2008,1,10e Open de France de Footbag,4. Alexander Trenner ? Leg Beater > Blurry Whirl > PS Whirl
2f3d1d48-2e06-57f0-bca0-5211c668f88f,Julien Appolonio,ducking,style_term,4,0,4,2007,2007,1,9e Open de France de Footbag,1. Serge Kaldany ? Quantum Ducking Torque = Quartz
2f3d1d48-2e06-57f0-bca0-5211c668f88f,Julien Appolonio,paradox,full_trick,4,0,4,2007,2007,1,9e Open de France de Footbag,8. Maxime Boucoiran ? Paradox Whirling Swirl
2f3d1d48-2e06-57f0-bca0-5211c668f88f,Julien Appolonio,pixie,style_term,4,0,4,2007,2007,1,9e Open de France de Footbag,10. Julien Romiti ? Pixie Torque
2f3d1d48-2e06-57f0-bca0-5211c668f88f,Julien Appolonio,swirl,full_trick,4,0,4,2007,2007,1,9e Open de France de Footbag,8. Maxime Boucoiran ? Paradox Whirling Swirl
2f3d1d48-2e06-57f0-bca0-5211c668f88f,Julien Appolonio,symposium,style_term,4,0,4,2007,2007,1,9e Open de France de Footbag,3. Dimitar Dimitrov ? Symposium Tapping Reverse Swirling Toe
2eaccb7b-430c-5678-b982-9415b20b24cf,Miquel Clemente,whirl,full_trick,4,0,4,2008,2008,1,RNH Contest 2008,1. Serge Kaldany ? Pixie whirl > blurry whirl > PS whirl
78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,blurry whirl,full_trick,4,0,4,2005,2005,1,7e Open de France de Footbag,"1. Karim Daouk Fog > Phoenix > Alpine Blurry Drifter, Phoenix > Blurry Whirl >"
78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,pixie,style_term,4,0,4,2005,2005,1,7e Open de France de Footbag,"Atomic Double Leg Over, Matador > Fog > Pixie Torque"
78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,swirl,full_trick,4,1,3,2005,2005,1,7e Open de France de Footbag,6. Stefan Siegert Quantum Butterfly Swirl
78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,whirl,full_trick,4,0,4,2005,2005,1,7e Open de France de Footbag,5. Renato Zuelli Blurry Whirl > PS Whirl > Superfly
24ffb4bb-a58e-54d8-b0d9-06b989c794cd,Alexander Trenner,blurry whirl,full_trick,3,3,0,2009,2016,3,Austrian Footbag Championships 2009,2. Alexander Trenner (Matador > Blurry Whirl > Mullet)
24ffb4bb-a58e-54d8-b0d9-06b989c794cd,Alexander Trenner,superfly,full_trick,3,3,0,2009,2016,3,Austrian Footbag Championships 2009,1. Alexander Trenner (Superfly)
8606f658-92cd-570c-bf5e-2865de4a9b48,Andrew Grant,whirl,full_trick,3,2,1,2005,2007,3,The Hackrifice Open 2005,Blurry whirl> ripwalk> ps whirl
bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,blender,full_trick,3,2,1,2007,2007,3,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,* surreal > whirlwind > spinning blender
ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,atomic,style_term,3,3,0,2008,2009,3,Zocha Jam 2008,1. Damian Gielnicki (Sumo > Atomic Drifter > Bedwetter)
ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,dimwalk,full_trick,3,3,0,2017,2022,3,17th Annual Polish Footbag Championships,3. Damian Gielnicki (spinning pdx dlo>dimwalk swirl>marius)
ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,eggbeater,full_trick,3,3,0,2010,2010,3,31st IFPA WORLD FOOTBAG CHAMPIONSHIPS,2. Damian Gielnicki (Poland) - spinning eggbeater > paradon swirl > symposium
ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,symposium,style_term,3,3,0,2010,2010,3,31st IFPA WORLD FOOTBAG CHAMPIONSHIPS,2. Damian Gielnicki (Poland) - spinning eggbeater > paradon swirl > symposium
033a8589-0c98-5729-a8b4-068c4efcf025,David Clavens,spinning,style_term,3,2,1,2006,2010,3,2006 Jersey Spike & Shred,(Whirlygig > Whirlwind > Spinning Paradox Blender)
58bb3c4a-1a60-537d-ba4e-55de294abd8c,Dustin Rhodes,blurry whirl,full_trick,3,3,0,2013,2014,3,2013 Green Cup Presented by Chaos,4. Dustin Rhodes (USA) - blurry whirl > blur > merlin
58bb3c4a-1a60-537d-ba4e-55de294abd8c,Dustin Rhodes,ripwalk,full_trick,3,3,0,2006,2013,3,Santa Cruz Invitational,1. Dustin Rhodes - dimwalk>ripwalk>ps mirage
be7a8e7f-f052-5c31-b27b-47d4fee9a265,Evan Gatesman,fusion,full_trick,3,3,0,2014,2016,3,35th IFPA WORLD FOOTBAG CHAMPIONSHIPS,1. Evan Gatesman (USA) - blurry far double-pickup > fusion > blurry whirling swirl
be7a8e7f-f052-5c31-b27b-47d4fee9a265,Evan Gatesman,pickup,full_trick,3,3,0,2014,2016,3,35th IFPA WORLD FOOTBAG CHAMPIONSHIPS,1. Evan Gatesman (USA) - blurry far double-pickup > fusion > blurry whirling swirl
6d948954-90cb-5446-9a60-9d4ca0ef4734,Filip Wojcik,pixie,style_term,3,3,0,2015,2022,3,36th IFPA WORLD FOOTBAG CHAMPIONSHIPS,4. Filip Wójcik (Poland) - Fairy Ducking Butterfly > Fog > Pixie Paradon
0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,fog,full_trick,3,2,1,2005,2021,3,Shercle Session #2,2. Honza Weber (Alpine Legbeater > Fog > Pixie Spinning Osis)
3568ce18-bf1b-55b6-aefd-61f65f55b08c,Jakub Grabarczyk,torque,full_trick,3,3,0,2008,2022,3,8th Annual Polish Footbag Championships 2008,2. Jakub Grabarczyk (Bluury Drifter>Matador>Pdx Torque)
4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,whirl,full_trick,3,1,2,2007,2007,3,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,"* jp:fission to blacula, symp whirl"
4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,food processor,full_trick,3,3,0,2007,2010,3,Zocha Jam 2007,3. Marcin Bujko PL (Janiwalker > Food Processor > Mobius)
0b3204c8-7e99-586e-aeb2-4186d0901fe3,Milan Benda,eggbeater,full_trick,3,2,1,2008,2014,3,Zocha Jam 2008,3. Milan Benda (Fury > Fusion > PS Eggbeater)
48268322-19d9-5180-aac2-241293167d21,Nick Landes,ducking butterfly,full_trick,3,3,0,2007,2009,3,2007 U.S. Open Footbag Championships,3. Nick Landes (Gyro Ducking Butterfly-P.S. Whirl-Spinning DLO)
48268322-19d9-5180-aac2-241293167d21,Nick Landes,spinning,style_term,3,3,0,2007,2009,3,4th annual Montana Freestyle Jam,"2. Nick Landes--Spinning Ducking Paradox Barrage, Flipwalk"
48268322-19d9-5180-aac2-241293167d21,Nick Landes,whirl,full_trick,3,3,0,2004,2007,3,3rd Annual Seattle Juggling and Footbag Festival,2. Nick Landes: blur>whirl>pdx. drifter
8606f658-92cd-570c-bf5e-2865de4a9b48,Andrew Grant,ripwalk,full_trick,3,1,2,2005,2007,2,The Hackrifice Open 2005,Blurry whirl> ripwalk> ps whirl
bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,blurry whirl,full_trick,3,2,1,2005,2007,2,The Hackrifice Open 2005,Phoenix> Blurry whirl> Blurriest
c29c4aa7-5b1e-54d1-9435-2a45edfd669c,Christopher Schillem,whirl,full_trick,3,2,1,2019,2022,2,40th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2019,4. Christopher Schillem (Fury>Fusion>PS Whirl)
c8aa0d72-fc62-5da2-94ab-b7eabd58ae19,Eric Chang,clipper,full_trick,3,3,0,2006,2008,2,Santa Cruz Invitational,1. Eric Chang - clipper>legover>butterfly
04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,whirl,full_trick,3,1,2,2004,2005,2,Shercle Session #1,Blurry Whirl > PS Whirl > Spinning Blender
3568ce18-bf1b-55b6-aefd-61f65f55b08c,Jakub Grabarczyk,legover,full_trick,3,0,3,2008,2010,2,8th Annual Polish Footbag Championships 2008,3. Paweł Frączek (barraging ss Legover>Symposium Dlo>Atomic Illusion)
4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,blender,full_trick,3,2,1,2007,2007,2,4th annual Montana Freestyle Jam,"1. Jim Penske -- Nemesis>Mullet>Spinning Blender, Whirlygig>Spinning"
4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,blurry whirl,full_trick,3,1,2,2007,2015,2,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,"* jp: alpine blurry whirl, motion, swirls"
16aae952-d265-5e4d-81b8-5474f6c43802,Jorden Moir,swirl,full_trick,3,1,2,2007,2008,2,Montreal Spring Jam 2,Josh : Stepping Superfly swirl
91dbdc03-080b-5170-a2b4-6fcbc7b4f053,Justin Dale,food processor,full_trick,3,3,0,2007,2008,2,2007 U.S. Open Footbag Championships,2. Justin Dale (Shooting Butterfly-Food Processor-Mind Bender)
9f9142e1-95ac-511a-b996-7873698c7818,Kyle Hewitt,symposium,style_term,3,3,0,2006,2007,2,U. S. Open Footbag Championships,2. Kyle Hewitt (Dimwalk-Double Leg Over- Symposium Mirage)
4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,blender,full_trick,3,1,2,2008,2017,2,8th Annual Polish Footbag Championships 2008,Blender>Down Double Down OR Atomsmasher> Double Switch Over
4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,clipper,full_trick,3,0,3,2008,2017,2,8th Annual Polish Footbag Championships 2008,Clipper>Ducking Toe OR Illusion>ATW
ecd47dee-6803-5d73-b31c-dcb9860e767e,Mathieu Gauthier,whirl,full_trick,3,1,2,2015,2021,2,36th IFPA WORLD FOOTBAG CHAMPIONSHIPS,5. Mathieu Gauthier (Canada) - Bedwetter > Pixie Whirl > Butterfly Rev. Swirl
0b3204c8-7e99-586e-aeb2-4186d0901fe3,Milan Benda,whirl,full_trick,3,0,3,2007,2008,2,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,* ripped warrior > blurriest > ps whirl
8a15006e-bc85-5621-bbe6-66090397b7d2,Przemyslaw Pietrzycki,torque,full_trick,3,2,1,2017,2018,2,17th Annual Polish Footbag Championships,6. Przemek Pietrzycki (phoenix>pdx torque>ps whirl)
e53e759e-e2e1-589b-a5b2-4c95e89b8e8c,Rory Dawson,pixie,style_term,3,3,0,2007,2007,2,4th annual Montana Freestyle Jam,7. Rory Dawson--Pixie Torque
8983b558-9cb9-5a25-bb28-589435a8f34e,Serge Kaldany,whirl,full_trick,3,0,3,2006,2018,2,8e OPEN de France de Footbag,Quantum Ducking Whirl
8fc44a4b-aa33-5106-8cc6-8f2303bf1b0e,Zac Jackson,ripwalk,full_trick,3,3,0,2007,2007,2,4th annual Montana Freestyle Jam,"4. Zac Jackson -- Ripwalk>Pdx Mirage>Legbeater, Ripwalk>Pdx Mirage>DLO"
24ffb4bb-a58e-54d8-b0d9-06b989c794cd,Alexander Trenner,whirl,full_trick,3,3,0,2022,2022,1,41st IFPA WORLD FOOTBAG CHAMPIONSHIPS 2022,"6.Alex Trener (Austria)(matador-blury whirl-ps whirl, janiwalker-ps whirl-"
cb047679-c1ef-5ab8-8944-999ca66d1ea3,CARLOS RAMIREZ,pixie,style_term,3,0,3,2019,2019,1,MedeJam de Footbag 2019,Smog (Pixie Doble Leg Over) / Smear / Pixie ss Barfly
4451a36c-41ca-55ab-87f3-d364b6f485ee,Jan Honza Weber,ducking,style_term,3,0,3,2008,2008,1,10e Open de France de Footbag,- Atomic Ducking Blender
ee569024-9b98-5ae0-8f39-8f0a97d99dfa,Lasse Salmenhaara,blurry whirl,full_trick,3,0,3,2004,2004,1,Shercle Session #1,Blurry Whirl > PS Whirl > Spinning Whirl
ee569024-9b98-5ae0-8f39-8f0a97d99dfa,Lasse Salmenhaara,whirl,full_trick,3,0,3,2004,2004,1,Shercle Session #1,Blurry Whirl > PS Whirl > Spinning Whirl
23c6748c-39f8-5ecd-ae9c-c3d83c0bfec6,Luis Monhollon,paradox torque,full_trick,3,3,0,2010,2010,1,U. S. Open Freestyle Footbag Championships,3. Luis Monhollon (Paradox Torque-Paradox Torque-Paradox Torque)
4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,drifter,full_trick,3,0,3,2008,2008,1,8th Annual Polish Footbag Championships 2008,Drifter>Spinning Clipper OR Symposium Mirage> Double ATW
4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,eggbeater,full_trick,3,0,3,2008,2008,1,8th Annual Polish Footbag Championships 2008,Sidewalk>Torque OR Stepping Paradox Illusion>Eggbeater
4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,gyro,style_term,3,0,3,2008,2008,1,8th Annual Polish Footbag Championships 2008,Ducking Clipper>Gyro Pickup OR Ducking Legover >same Whirl
4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,mirage,full_trick,3,0,3,2008,2008,1,8th Annual Polish Footbag Championships 2008,Drifter>Spinning Clipper OR Symposium Mirage> Double ATW
4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,ripwalk,full_trick,3,0,3,2017,2017,1,17th Annual Polish Footbag Championships,9. Wiktor D�bski (ripwalk>clipper>clipper | ripped warrior>ripwalk>far osis
4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,stepping,style_term,3,0,3,2008,2008,1,8th Annual Polish Footbag Championships 2008,Pixie Legover>Drifter OR Whirl> Stepping far Legover
2eaccb7b-430c-5678-b982-9415b20b24cf,Miquel Clemente,legover,full_trick,3,0,3,2008,2008,1,RNH Contest 2008,3. Augustin Tiffou ? Dimwalk > drifter > far legover
4beb2ce2-19e8-5443-9b5b-e221febea787,Andreas Nawrath,blurry whirl,full_trick,2,2,0,2016,2018,2,18th Annual IFPA European Footbag Championships 2016,2. Andreas Nawrath (Sailing Butterfly > Blurry Whirl > Paradox Torque)
4beb2ce2-19e8-5443-9b5b-e221febea787,Andreas Nawrath,butterfly,full_trick,2,2,0,2016,2018,2,18th Annual IFPA European Footbag Championships 2016,2. Andreas Nawrath (Sailing Butterfly > Blurry Whirl > Paradox Torque)
6513b145-8a4a-556a-a04f-981d95db2d70,Arkadiusz Dudzinski,fusion,full_trick,2,2,0,2009,2012,2,30th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,1. Arkadiusz Dudzinski 44.9 (Beta Bedwetter > Fusion > Food Processor)
8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,atomic,style_term,2,0,2,2017,2018,2,17th Annual Polish Footbag Championships,5. Pawe� Nowak (symposium atomic motion)
8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,ducking,style_term,2,1,1,2009,2018,2,11th Annual IFPA European Footbag Championships - Strzelin,3. Damian Gielnicki ? sumo>alpinie legbeater>ducking pdx torque (Nowe Miasto)
8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,eggbeater,full_trick,2,0,2,2009,2018,2,11th Annual IFPA European Footbag Championships - Strzelin,2. Arkadiusz Dudziñski ? fury>reaktor>ps eggbeater (S³upsk)
e719220a-29e0-5844-869b-58c53a0b88b9,Bartosz Bubula,fusion,full_trick,2,2,0,2009,2012,2,End of Winter Jam,6. Bartosz Bubula (Ripwarrior > Fog > Fusion)
e719220a-29e0-5844-869b-58c53a0b88b9,Bartosz Bubula,swirl,full_trick,2,2,0,2012,2012,2,Todexon 13,2. Bartek Bubula - ripped warrior>bedwetter>phoenix swirl
bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,blurriest,full_trick,2,1,1,2005,2007,2,The Hackrifice Open 2005,Phoenix> Blurry whirl> Blurriest
bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,ducking,style_term,2,2,0,2007,2007,2,4th annual Montana Freestyle Jam,"1. Byrin Wylie--Surging Ducking Paradox Whirl, Surging Paradox Blender, Gyro"
bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,spinning,style_term,2,1,1,2007,2007,2,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,* surreal > whirlwind > spinning blender
bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,swirl,full_trick,2,0,2,2007,2007,2,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,* spinning whirl > mobius > far reverse swirl
e8aa88b0-f630-555a-ac0c-60d033607464,Chris Balch,butterfly,full_trick,2,0,2,2006,2007,2,7th Annual Colorado Shred Symposium,(pixie rake>pendulum>ss butterfly)
c29c4aa7-5b1e-54d1-9435-2a45edfd669c,Christopher Schillem,atomic,style_term,2,2,0,2012,2021,2,German Footbag Open (14th Annual German Footbag Championships),"1. Christopher Schillem (Your Grandma, Atomic Ducking Motor)"
c29c4aa7-5b1e-54d1-9435-2a45edfd669c,Christopher Schillem,ducking,style_term,2,2,0,2011,2012,2,13th Annual German Footbag Championships,1. Christopher Schillem (Stepping Ducking Motor)
c29c4aa7-5b1e-54d1-9435-2a45edfd669c,Christopher Schillem,fusion,full_trick,2,2,0,2012,2019,2,German Footbag Open (14th Annual German Footbag Championships),2. Christopher Schillem (Fury > Fusion > PS Eggbeater)
bd97ebe2-5ecd-5854-9d2e-b877a27ac527,Daryl Genz,mirage,full_trick,2,1,1,2004,2007,2,3rd Annual Seattle Juggling and Footbag Festival,Alpine PS mirage>phoenix>pdx atom smasher
033a8589-0c98-5729-a8b4-068c4efcf025,David Clavens,paradox blender,full_trick,2,1,1,2006,2006,2,2006 Jersey Spike & Shred,(Whirlygig > Whirlwind > Spinning Paradox Blender)
033a8589-0c98-5729-a8b4-068c4efcf025,David Clavens,swirl,full_trick,2,2,0,2010,2013,2,12th Annual IFPA European Footbag Championships - Brussels,2 David Clavens Nemesis > PS Whirling Swirl > Spinning Blender
58bb3c4a-1a60-537d-ba4e-55de294abd8c,Dustin Rhodes,blur,full_trick,2,2,0,2013,2014,2,2013 Green Cup Presented by Chaos,4. Dustin Rhodes (USA) - blurry whirl > blur > merlin
