event_id,year,Tournament Name,Date,Location,Event Type,Host Club,placements_count,results_lines
945548940,2000,U.S. Open Footbag Net Championships,"August 11-13, 2000","Waterfront Park Portland, Oregon, USA",net,,12,19
946940201,2000,East Coast Footbag Championships,"April 29-30, 2000","University of Maryland campus College Park, Maryland, USA",mixed,,20,43
947026077,2000,The 2nd Annual Philly Open Footbag Championships,"March 25-26, 2000","Phoenixville YMCA Phoenixville, Pennsylvania, USA",mixed,,30,45
947196813,2000,New Zealand Footbag Championships,"April 1-2, 2000","Chaffers Park Wellington, New Zealand",net,,23,34
948198763,2000,European Footbag Championships 2000,"July 14-16, 2000","Parc de Saint Cloud Paris, France",mixed,,63,96
948943299,2000,First Annual Arica Open,"February 3, 2000","Parque Brasil Arica, Chile",net,,10,15
949991621,2000,6th Annual Southern California Footbag Championships,"April 15-16, 2000","Hermosa Valley Park Hermosa Beach, California, USA",freestyle,OOPS,12,19
951771943,2000,UCSF Freestyle Jam,"April 1-2, 2000","Millberry Union, UCSF San Francisco, California, USA",freestyle,,0,0
952906680,2000,Montreal International Footbag Championships,"July 7-9, 2000","Parc Jeanne-Mance Montreal, Quebec, Canada",freestyle,Association Québécoise de Footbag,51,72
953918475,2000,Funtastik Summer Classic Footbag Tournament,"September 2-4, 2000","Sunshine Park and City Island, Harrisburg, Pa. Harrisburg, Pennsylvania, USA",mixed,,40,67
955745735,2000,4th Annual Kansas Footbag Open,"May 20-21, 2000","Watson Park, South Side Wichita, Kansas, USA",mixed,,24,47
955831740,2000,Turku Open 2000,"June 10-11, 2000","Halinen Halli Turku, Finland",mixed,Suomen Footbag Liitto ry. (Finnish Footbag Association),23,36
957240514,2000,Emerald City Open,"June 24-25, 2000","Green Lake Park Seattle, Washington, USA",net,,19,38
957778745,2000,Footbag Meeting Bern,"June 17, 2000","Bern, Switzerland",mixed,Sole Rebels Zürich,12,19
959094047,2000,Battle of the Year Switzerland,May 27,Switzerland,social,,0,0
959353403,2000,2000 Southeast Idaho Footbag Championships,"July 15, 2000","Pocatello, Idaho, USA",freestyle,Idaho State University Footbag Club,17,28
961053916,2000,Footbag Oulu-Open 2000,"July 29-30, 2000","Oulu marketplace and theatre area Oulu, Finland",mixed,,23,38
961626997,2000,Quebec City Footbag Net Championships,"July 2-3, 2000","Plaines d'Abraham Quebec City, Quebec, Canada",net,,30,37
967817818,2000,Texas State Footbag Championships,"November 11-12, 2000","Zilker Park Rugby Fields (Front Gate) Austin, Texas, USA",mixed,Austin Style Footbag Club - Texas Footbag League,48,85
972427576,2001,L'Hivernal (The Windchill) Footbag Tournament,"February 10-11, 2001","Cegep du Vieux-Montr?al (College of Vieux-Montreal) Montreal, Quebec, Canada",mixed,Association Québécoise de Footbag,57,76
973573676,2001,2nd Annual New Zealand Footbag Championships,"January 6, 2001","Herne Bay Racket Club Auckland, New Zealand",freestyle,The Auckland Freestyle Footbag Club (AFFC),11,26
974683678,2001,COLORADO SHRED SYMPOSIUM 2,"February 25, 2001","Toadstool Playhouse Boulder, Colorado, USA",freestyle,,26,29
977260894,2001,Second Annual Arica Open,"January 10, 2001","Parque Brasil Arica, Chile",net,,8,13
978967004,2001,Southern California Footbag Championships,"April 28-29, 2001","Hermosa Valley Park Hermosa Beach, California, USA",mixed,OOPS,42,59
979089216,2001,First Annual Eugene Freestyle Freekout!!!,"March 24-25, 2001","IRVING GRANGE Eugene, Oregon, USA",freestyle,,17,22
979334083,2001,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,"May 26-28, 2001","Stanford University - Wilbur Field Palo Alto, California, USA",mixed,Stanford University Footbag Club,108,137
979816633,2001,1st Hungarian Footbag Cup,"February 3, 2001","Lucia-Laura Cafe Budapest, Hungary",net,FreeStall,14,21
980253113,2001,Swiss Footbag Jam,"January 27-28, 2001","TBA Zurich, Switzerland",freestyle,Sole Rebels Zürich,0,0
980502839,2001,European Footbag Championships,"July 19-22, 2001","Are?l Slavia Praha Prague, Czech Republic",mixed,Czech Footbag Association,50,77
980969461,2001,WORLD FOOTBAG CHAMPIONSHIPS,"August 6-12, 2001","Berkeley, Albany, San Francisco San Francisco Bay Area, California, USA",worlds,,203,252
981129410,2001,East Coast Footbag Championships,"April 28-29, 2001","UMD College Park Campus College Park, Maryland, USA",mixed,,55,86
981560223,2001,Swiss Footbag Championships (FootJam),"May 26-27, 2001","B?ckeranlage/Dynamo Zurich, Switzerland",mixed,Sole Rebels Zürich,115,136
984694623,2001,1st Montreal Summer Freestyle Challenge,"July 20-22, 2001","Les Foufounes Electriques, 87 Sainte-Catherine E. Montreal, Quebec, Canada",freestyle,,20,27
984874006,2001,P.S.T. Obligatory Footbag Forum,"March 31-April 1, 2001","University Park Campus of the Pennsylvania State University State College, Pennsylvania, USA",freestyle,,1,4
987985282,2001,Townsville Promotional Jam,"July 22, 2001","Pioneer Park Townsville, Queensland, Australia",freestyle,,0,0
988325277,2001,Saskatchewan Footbag Championships,"August 18-19, 2001","Wascana Park (near Imax theater) Regina, Saskatchewan, Canada",freestyle,,9,12
988434364,2001,2001 Southern Regional Footbag Championships,"May 19-20, 2001","Wildflower Arts & Music Festival Richardson, Texas, USA",mixed,Dallas Footbag Club,56,87
989875090,2001,Chicago Inner Circle Museum of Science and Industry Jam,"July 20-21, 2001","CIC Headquarters, The Museum of Science and Industry La Grange, Chicago, Illinois, USA",freestyle,Chicago Inner Circle,11,20
990512631,2001,3rd annual Turku International Open Championships 2001 Finland,"June 9, 2001","Sportcenter Liikunta.fi Turku, Finland",mixed,Suomen Footbag Liitto ry. (Finnish Footbag Association),24,33
990626988,2001,Polish Footbag Competition,"June 22, 2001","ROCKER club ul.Braniborska2/10 Wroclaw, Poland",freestyle,PSF Polish Footbag Association,7,10
990905420,2001,Vancouver Open Footbag Tournament,"August 25-26, 2001","Jericho Beach Park East Vancouver, BC, Canada",golf,Kitsilano Footbag Association,45,60
991285803,2001,Montreal International Footbag Net Championships 2001,"July 14-15, 2001","Montreal, Quebec, Canada",net,Association Québécoise de Footbag,40,47
991757909,2001,Funtastik Summer Classic Footbag Tournament,"September 1-3, 2001","Sunshine Park/ City Island Harrisburg, Pennsylvania, USA",mixed,,47,76
992517335,2001,Keuruu Footbag Jam 2001,"June 16, 2001","Iso Kirja Conference Center Keuruu, Finland",freestyle,,24,33
994186570,2001,Faith Footbag Forum,"July 14, 2001","Faith U.P. Church Washington, Pennsylvania, USA",freestyle,,0,0
996293200,2001,Australian Footbag Championships,"December 7-9, 2001","Stadium Australia, Sydney Sydney, New South Wales, Australia",freestyle,,20,27
996678489,2001,Vienna Footbag Festival,"August 19, 2001","Resselpark / Karlsplatz Vienna, Austria",freestyle,Footbag-Vienna,12,17
999985344,2001,Estonian Footbag Championships,"October 7, 2001","Kristiine Spordihall, Forelli 12 Tallinn, Harjumaa, Estonia",mixed,Tallinn Footbag Club,35,44
1000071985,2001,2001 Frankfurt Footbag Open,"September 29, 2001","Fachhochschule Frankfurt am Main, Kleiststra?e 10 Frankfurt/Main, Hessen, Germany",freestyle,SG Frankfurt Footbag e.V.,2,7
1001076203,2001,3ème Open de France de Footbag,"November 9-11, 2001","Paint-ball Arena Montpellier, Hérault, France",net,,22,31
1001076315,2001,5th Annual Finnish Footbag Championships,"September 28-30, 2001","Turku Fair Center Turku, Finland",mixed,Suomen Footbag Liitto ry. (Finnish Footbag Association),39,54
1001905008,2001,Fall Footbag Party,"October 20-21, 2001","Manassas, Virginia, USA",mixed,D.C. All-Stars,0,0
1001942070,2001,Texas State Footbag Championships,"November 17-18, 2001","Zilker Park Rugby Field Austin, Texas, USA",mixed,Austin Style Footbag Club - Texas Footbag League,30,53
1004370976,2001,Bootfägers Shred,"November 10, 2001","B?umlihofschule Basel, Basel-Stadt, Switzerland",freestyle,Bootfägers Basel,6,11
1005667143,2001,Finnstyle Footbag JAM,"November 24, 2001","Arena Center, Ruskeasuo Helsinki, Finland",freestyle,,12,23
1011291051,2002,Quebec City Footbag Net Championships 2002,"July 12-14, 2002","Plaines of Abraham Quebec City, Quebec, Canada",net,,40,49
1011324897,2002,PennStateTrio's O.F.F. 2,"March 2-3, 2002","Days Inn Hotel (Ballroom Reserved) State College, Pennsylvania, USA",freestyle,,12,21
1011556608,2002,FOOTJAM meets 3BORDERSCUP,"June 1-2, 2002","St. Jakob Sportlocation Basel, Switzerland",mixed,Bootfägers Basel,14,27
1012638214,2002,2002 WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,"May 25-27, 2002","Stanford University - Wilbur Field Palo Alto, California, USA",mixed,Stanford University Footbag Club,74,97
1013283071,2002,23rd Annual WORLD FOOTBAG CHAMPIONSHIPS,"August 5-11, 2002","Various San Francisco, California, USA",worlds,,78,93
1015198403,2002,Footbag Barbarian Training Camp,"June 22-23, 2002","Manassas, Virginia, USA",social,D.C. All-Stars,0,0
1015303046,2002,S.L.O. Kickin's 1st annual footbag net tournament,"June 22, 2002","Mitchell Park San Luis Obispo, California, USA",net,,10,17
1016457376,2002,Cinco de Mayo Footbag Fest,"May 5, 2002","Pendleton King Park Augusta, Georgia, USA",freestyle,,29,38
1018812342,2002,Czech Footbag Championships,"August 31-September 1, 2002","Praha, Czech Republic",freestyle,Czech Footbag Association,38,51
1018925821,2002,Tri-State Area Footbag Jam,"May 18, 2002","Bear Run Campground, Portersville, Pennsylvania, USA",freestyle,,4,9
1019193491,2002,Finnsta City Jam,"June 15-16, 2002","Vallila/Vr:n makasiinit Helsinki, Finland",freestyle,Finnsta,17,22
1020262608,2002,German Footbag Open 2002,"September 13-15, 2002","Tennis & Squash City / YAAM Berlin, Germany",social,FC Footstar Berlin e.V.,0,0
1021665982,2002,2002 East Coast Footbag Championships,"June 15-16, 2002","Fairland Aquatic Center, Laurel, Maryland, USA",freestyle,D.C. All-Stars,56,63
1022992222,2002,Shred Zero Summer Open 2002,"July 5-7, 2002","Acadia Althletic Park Calgary, Alberta, Canada",freestyle,,7,12
1023993464,2002,Funtastik Summer Classic Footbag Tournament,August 31 - September 2,"Hershey, Pennsylvania, USA",social,,0,0
1024091202,2002,III. Hungarian Footbag Festival,"July 13, 2002","Beke ter Kiskunfelegyhaza, Hungary",freestyle,Sunshred Footbag Crew,14,23
1025084282,2002,1st Queensland Footbag Challenge,"August 18, 2002","Logan City PoliceYouth Club Logan, Queensland, Australia",freestyle,,9,14
1027925383,2002,Finnish Footbag Championships 2002,"September 28-29, 2002","T??l?nkisahalli Helsinki, Finland",mixed,Finnsta,44,59
1028218784,2002,2002 Texas State Footbag Championships,"October 19-20, 2002","Westheimer Street Festival - Allen Parkway Houston, Texas, USA",mixed,Houston Skyliners Footbag Club,53,84
1028233308,2002,US Open Freestyle Championships,"December 27-29, 2002","McCormick Place Chicago, Illinois, USA",freestyle,MIDWEST FOOTBAG ASSOCIATION,31,48
1028800969,2002,3. Frankfurt Footbag Open,"August 24-25, 2002","Ostparkstrasse / Ostpark Frankfurt, Hessen, Germany",mixed,SG Frankfurt Footbag e.V.,23,32
1029347412,2002,Woodstower: French Opening,"September 7-8, 2002","Lyon, France",freestyle,,2,7
1030642331,2002,Seattle Juggling and Footbag Festival,November 15 - 17,"Seattle, Washington, USA",social,,0,0
1030830356,2002,4e Open de France de Footbag,"November 9-11, 2002","Paint Ball Arena Montpellier, France",mixed,Icarus Footbag,52,75
1032602594,2002,Victorian Footbag Championships,"October 5, 2002","Outside the State Library Melbourne, Victoria, Australia",freestyle,,8,11
1034212755,2002,Fall Footbag Party 2002,"October 26-27, 2002","Fourth Street/Chicago Avenue Park Ocean City, Maryland, USA",mixed,D.C. All-Stars,0,0
1035817350,2002,New South Wales Footbag Championships,"December 7, 2002","Sydney Myer Music Bowl/Homebake Music Festival Sydney, New South Wales, Australia",freestyle,,6,9
1043430155,2002,Tri-State Area Footbag Jam,"May 18, 2002","Portersville, Pennsylvania, USA",freestyle,,4,9
1031334528,2003,Funtastik Summer Classic Footbag Tournament,"August 30-September 1, 2003","Sunshine Park & City Island Harrisburg, Pennsylvania, USA",mixed,,50,79
1032472601,2003,The 3rd Annual Chilly Philly Freestyle Jam,"January 4-5, 2003","The Adam's Mark Hotel Philadelphia, Pennsylvania, USA",freestyle,Philly Footworks,13,20
1034985978,2003,2003 Canadian Open Footbag Championships,"July 19-20, 2003","Carnarvon Park Vancouver, BC, Canada",mixed,Canadian Footbag Alliance,19,36
1035277529,2003,24th Annual WORLD FOOTBAG CHAMPIONSHIPS,"July 28-August 3, 2003","Slavia Sports Complex (Praha 10 - Vrsovice) Prague, Czech Republic",worlds,Czech Footbag Association,187,210
1036298726,2003,Colorado Shred Symposium 4,"March 1-2, 2003","O.D.'s Sports Crossing Fort Collins, Colorado, USA",freestyle,,53,60
1036653244,2003,2003 Shred Zero Summer Open,"June 28-29, 2003","University of Calgary Calgary, Alberta, Canada",freestyle,,9,14
1038895913,2003,Seapa NZ Freestyle Footbag Championships,"February 21-23, 2003","Day 1: Cuba Mall, Day 2: Chaffers Park, Day 3: Te Papa Amphitheatre Wellington, New Zealand",freestyle,,29,42
1039550946,2003,2003 Montreal International Footbag Championships,"July 11-13, 2003","Parc Jeanne-Mance (Tentative) Montréal, Quebec, Canada",net,Association Québécoise de Footbag,15,28
1041241196,2003,MECCA Footbag Cup,"February 28-March 1, 2003","Bal?zs B?la ?MK Gy?r, Hungary",freestyle,Sunshred Footbag Crew,9,16
1042821772,2003,European Footbag Championships 2003,"July 18-20, 2003","W?hlerschule, Bertramswiese Frankfurt, Hessen, Germany",mixed,SG Frankfurt Footbag e.V.,117,140
1044624680,2003,2003 Southeastern Regional Championships,"April 26, 2003","Pendleton King Park Augusta, Georgia, USA",freestyle,,25,34
1044952105,2003,"L'Hivernal, The Windchill","March 15, 2003","Old Montreal College Montréal, QC, Canada",net,Association Québécoise de Footbag,10,13
1045628278,2003,Montreal Footbag Challenge 2003,"May 31, 2003","Le Gesu -, Bleury (coin Ste-Catherine) Montreal, Quebec, Canada",freestyle,,12,21
1046985067,2003,2003 Steel City Footbag Open,"May 16-18, 2003","Nationality Days Street Festival Ambridge, Pennsylvania, USA",freestyle,,8,15
1049457912,2003,2003 East Coast Championships - The BIG 2-0,"June 28-29, 2003","Fairland Aquatic Center, Laurel, MD, USA",freestyle,D.C. All-Stars,81,100
1050067583,2003,Turku Open,"June 6-7, 2003","Kupittaa Park Turku, Finland",freestyle,Footcraft,11,20
1050140930,2003,German Footbag Open 2003,"July 4-5, 2003","Sportarena Tuchanger Zeil, Germany",mixed,FC Footstar Berlin e.V.,32,47
1050745947,2003,RNH Contest 2003,"May 10-11, 2003","Centre Sportif Georges-Carpentier Paris, France",mixed,Rien N'est Hacky - RNH Footbag,24,39
1052775366,2003,Danish Footbag Open 03,"August 29-31, 2003","Indre By Medborgerhus - Ahlefeldtsgade 33 Copenhagen, Denmark",mixed,FootbagDenmark,29,50
1054616435,2003,1st Annual Eugene Freestyle Festival,"October 18-19, 2003","Washington Jefferson St bridge Eugene, Oregon, USA",freestyle,,0,0
1057773472,2003,23rd Annual Moonin' & Noonin' Beaver Open,"August 30-September 1, 2003","Willamette Mission State Park Near Salem, Oregon, USA",mixed,,3,10
1058378281,2003,Texas State Footbag Championships,"October 18-19, 2003","Zilker Park - Rugby Fields Austin, Texas, USA",mixed,Austin Style Footbag Club - Texas Footbag League,53,90
1058877971,2003,"""Kick Til You're Sick"" Fall Freestyle Fest","October 17-18, 2003","Newtown Athletic Club Newtown, Pennsylvania, USA",freestyle,Philly Footworks,12,19
1061212821,2003,19th Annual Midwest Regional Championships and Exhibition,"December 27-29, 2003","McCormick Place, Chicago Chicago, Illinois, USA",freestyle,MIDWEST FOOTBAG ASSOCIATION,25,46
1061453080,2003,Australian East Coast Regionals,"September 27-28, 2003","State Library Melbourne, Victoria, Australia",freestyle,,23,40
1061921260,2003,Pre Season Footbag Golf Open,"August 26, 2003","Parc de Bercy Paris, France",golf,Rien N'est Hacky - RNH Footbag,0,0
1063788560,2003,Finnish Footbag Championships 2003,"September 19-21, 2003","Maijam?en liikuntahalli & Turun Sporttimessut Naantali and Turku, Finland",mixed,Suomen Footbag Liitto ry. (Finnish Footbag Association),40,57
1064330873,2003,4. Frankfurt Footbag Open,"September 27-28, 2003","Licht und Luftbad Niederrad Frankfurt, Hessen, Germany",net,SG Frankfurt Footbag e.V.,34,41
1064849293,2003,1st French Footbag Championships,"November 8-11, 2003","Montpellier, France",mixed,Icarus Footbag,61,80
1069415266,2003,"Party Golf @ ""Salon de l'Education""","November 21-23, 2003","""Salon de l'Education"" Paris, France",golf,Rien N'est Hacky - RNH Footbag,0,0
1042566573,2004,The 4th Annual Chilly Philly Freestyle Jam,"January 2-3, 2004","Levy Tennis Pavillion Philadelphia, Pennsylvania, USA",freestyle,,0,0
1065478531,2004,The Windchill -- L'Hivernal de Footbag 2004,"March 13, 2004","Old Montreal College Montréal, QC, Canada",net,Association Québécoise de Footbag,12,15
1068406344,2004,2nd Annual MECCA Footbag Cup,"February 28-29, 2004","Gym of the ?nyos Jedlik Secondary Technical School Gy?r, Hungary",freestyle,Sunshred Footbag Crew,13,20
1068638122,2004,"Swiss Footbag Open 2004, FootJam04","May 22-23, 2004","Rote Fabrik Zurich, Switzerland",social,Sole Rebels Zürich,0,0
1069791565,2004,5th Annual Open de France,"January 24-25, 2004","Gymnase Duplat & Ninkasi Kaf Lyon, France",mixed,,25,40
1069929277,2004,25th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,"July 26-August 1, 2004","Montreal, Quebec, Canada",worlds,Association Québécoise de Footbag,244,277
1070734498,2004,TODEXON 5,"March 20, 2004","Praha, Czech Republic",freestyle,Czech Footbag Association,23,30
1070954568,2004,5th Annual Colorado Shred Symposium,"February 28-29, 2004","Auraria Campus, St. Cajetan's Center Denver, Colorado, USA",freestyle,,54,65
1071060801,2004,Aachen Indoor Open 2004,"February 7-8, 2004","K?nigsh?gel Aachen, Germany",net,TSK Aachen e.V.,8,13
1074511718,2004,Swiat Zoski,"March 5-6, 2004","Wroclaw, Poland",mixed,PSF Polish Footbag Association,12,27
1075781798,2004,Funtastik Summer Classic Footbag Tournament,"September 4-6, 2004","Sunshine Park & City Island Harrisburg, Pennsylvania, USA",mixed,,44,75
1076876907,2004,Russian Open Footbag Series/ Stage 1,"March 19-21, 2004","SKK Saint-Petersburg, Russia",freestyle,,10,15
1076952530,2004,SOUF 2004 Southeastern Regional Footbag Championships,"May 8, 2004","New Community Church Atlanta, Georgia, USA",freestyle,,7,10
